index,artwork_title,metadata,url
4600,"Nocturne, 1955, Uchima Ansei","Artist
Uchima Ansei
Title
Nocturne
Origin
Japan
Date
1955
Medium
Color woodblock print
Dimensions
41.3 × 65.3 cm (16 1/4 × 25 11/16 in.)
Credit Line
Japanese Print Purchase Fund
Reference Number
1956.1253",https://www.artic.edu/artworks/5052/nocturne
4601,"Nude Portrait of Gertrude Abercrombie, 1935, Ivan Albright","Artist
Ivan Albright
Title
Nude Portrait of Gertrude Abercrombie
Origin
United States
Date
Made 1935
Medium
Lithograph on ivory wove paper
Dimensions
315 x 264 mm (image); 404 x 291 mm (sheet)
Credit Line
Gift of the Estate of Gertrude Abercrombie
Reference Number
1978.483
Copyright
© The Art Institute of Chicago.",https://www.artic.edu/artworks/53236/nude-portrait-of-gertrude-abercrombie
4602,"Hydrangea and Swallow, from an untitled series of large flowers, c. 1833/34, Katsushika Hokusai","Artist
Katsushika Hokusai
Title
Hydrangea and Swallow, from an untitled series of large flowers
Origin
Japan
Date
1828–1838
Medium
Color woodblock print; oban
Dimensions
26.1 x 38.5 cm (10 1/4 x 15 in.)
Credit Line
Clarence Buckingham Collection
Reference Number
1925.3376",https://www.artic.edu/artworks/25117/hydrangea-and-swallow-from-an-untitled-series-of-large-flowers
4603,"Road (Michi), 1957 (printed 1959), Ono Tadashige","Artist
Ono Tadashige
Title
Road (Michi)
Origin
Japan
Date
Printed 1959
Medium
Color woodblock print; edition 4/10
Credit Line
Gift of the Felix and Helen Juda foundation
Reference Number
1963.615",https://www.artic.edu/artworks/18116/road-michi
4604,"Fragment, 18th century, Islamic","Artist
Islamic
Title
Fragment
Origin
Iran
Date
1701–1800
Medium
Brocaded plain compound cloth, silk, gold wound on yellow silk core, silver wound on white silk core
Dimensions
18.1 × 15 cm (7 1/8 × 5 7/8 in.)
Credit Line
Logan-Patten-Ryerson Collection
Reference Number
1930.829",https://www.artic.edu/artworks/6234/fragment
4605,"The Essex Canal, c. 1896, Albert Pinkham Ryder","Artist
Albert Pinkham Ryder
Title
The Essex Canal
Origin
United States
Date
c. 1896
Medium
Oil on canvas mounted on board
Dimensions
41.3 × 52.1 cm (16 1/4 × 20 1/2 in.)
Credit Line
Gift of Mr. and Mrs. Herbert Geist
Reference Number
1980.279",https://www.artic.edu/artworks/60239/the-essex-canal
4606,"Nude Child Seated, 1520/30, Jean de Gourmont","Artist
Jean de Gourmont
Title
Nude Child Seated
Origin
France
Date
1520–1530
Medium
Engraving in black on ivory laid paper
Dimensions
78 × 78 mm (sheet, trimmed within plate mark)
Credit Line
Bequest of Mrs. Potter Palmer, Jr.
Reference Number
1956.1062",https://www.artic.edu/artworks/4429/nude-child-seated
4607,"Portrait of Stéphane Mallarmé, 1891, printed 1919, Paul Gauguin","Artist
Paul Gauguin
Title
Portrait of Stéphane Mallarmé
Origin
France
Date
Made 1891
Medium
Etching, drypoint and engraving in brown-black on cream Japanese laid paper
Inscriptions
Monogrammed in image: ""P G;""; dated ""9 1"" (the 9 reversed)
Dimensions
183 × 145 mm (plate); 330 × 240 mm (sheet)
Credit Line
Albert H. Wolf Memorial Collection
Reference Number
1935.46",https://www.artic.edu/artworks/21078/portrait-of-stephane-mallarme
4608,"Sinan the Jew and Haireddin Barbarossa, c. 1535, Imitator of Gentile Bellini","Artist
Imitator of Gentile Bellini
Title
Sinan the Jew and Haireddin Barbarossa
Origin
Northern Italy
Date
1525–1545
Medium
Tempera on canvas
Dimensions
66.5 x 63.7 cm (26 3/16 x 25 1/16 in.)
Credit Line
Charles H. and Mary F. S. Worcester Collection
Reference Number
1947.53",https://www.artic.edu/artworks/90060/sinan-the-jew-and-haireddin-barbarossa
4609,"Plaque, 1879, John Bennett","Artist
John Bennett
Title
Plaque
Origin
United States
Date
1879
Medium
Earthenware
Inscriptions
Marked: ""J. Bennett/412 East 24 / N.Y./1879""
Dimensions
46.7 cm (18 3/8 in.)
Credit Line
Through prior acquisitions of the George F. Harding Collection, an anonymous donor, Bessie Bennett, Mrs. William Blood, Emily Crane Chadbourne, Milton Straus, Elizabeth R. Vaughan, Behrend/Sanford Auction and Thorne Rooms Exhibition funds
Reference Number
1998.317",https://www.artic.edu/artworks/150063/plaque
