collection,link
"The Bohemians Marching, from The Bohemians, 1621, Jacques Callot",https://www.artic.edu/artworks/10007/the-bohemians-marching-from-the-bohemians
"“Hilton Head Island, S.C., USA, June 22, 1992,” from Beach Portraits, 1992, Rineke Dijkstra",https://www.artic.edu/artworks/158455/hilton-head-island-s-c-usa-june-22-1992-from-beach-portraits
"“E” Town, New Mexico, 1930, printed 1953/54, Edward Weston",https://www.artic.edu/artworks/120855/e-town-new-mexico
"Chief Blanket (Third Phase), c. 1860/65, Navajo (Diné)",https://www.artic.edu/artworks/157115/chief-blanket-third-phase
"Colinet Departs in Sorrow: Riven Trunk at Right, from The Pastorals of Virgil, 1821, William Blake",https://www.artic.edu/artworks/18310/colinet-departs-in-sorrow-riven-trunk-at-right-from-the-pastorals-of-virgil
"Deity from a Set of Five Pancharaksha Goddesses, Qing dynasty (1644–1911), 19th century, Tibeto-Chinese",https://www.artic.edu/artworks/15742/deity-from-a-set-of-five-pancharaksha-goddesses
"Self-Portrait (recto); Female Nude Reclining (verso), 1913, Egon Schiele",https://www.artic.edu/artworks/25383/self-portrait-recto-female-nude-reclining-verso
"Equestrian Portrait of the Emperor Maximilian I, 1508, Hans Burgkmair, the elder",https://www.artic.edu/artworks/12791/equestrian-portrait-of-the-emperor-maximilian-i
"Saints and Worshippers in Adoration, 1510/15",https://www.artic.edu/artworks/6607/saints-and-worshippers-in-adoration
"Heavy Water, 1991, Anselm Kiefer",https://www.artic.edu/artworks/158890/heavy-water
"Jim and His Daughter, 1923, Walter Ufer",https://www.artic.edu/artworks/87440/jim-and-his-daughter
"Mirror, from the series “Eight Views of Tea-stalls in Celebrated Places” (“Meisho koshikake hakkei”), c. 1795/96, Kitagawa Utamaro",https://www.artic.edu/artworks/89362/mirror-from-the-series-eight-views-of-tea-stalls-in-celebrated-places-meisho-koshikake-hakkei
"Untitled 3, 1950, Barnett Newman",https://www.artic.edu/artworks/73420/untitled-3
"Playground in a Mill Village (Playground in a Tenement Alley), Boston, 1909, Lewis Wickes Hine",https://www.artic.edu/artworks/11345/playground-in-a-mill-village-playground-in-a-tenement-alley-boston
"Young Man Dressed as Mendicant Monk, c. 1755, Okumura Masanobu",https://www.artic.edu/artworks/8951/young-man-dressed-as-mendicant-monk
"Woman’s Changfu (Informal Court Robe), 1900/10, Qing dynasty (1644–1911), Manchu",https://www.artic.edu/artworks/10489/woman-s-changfu-informal-court-robe
"Queer Basher/Icarus Falling, 1986, David Wojnarowicz",https://www.artic.edu/artworks/184212/queer-basher-icarus-falling
"Landscape in Provence, c. 1930, André Derain",https://www.artic.edu/artworks/59867/landscape-in-provence
"Keep These Off the U.S.A., 1918, John Warner Norton",https://www.artic.edu/artworks/7955/keep-these-off-the-u-s-a
"Study of a Seated Man, 1905, Pablo Picasso",https://www.artic.edu/artworks/13574/study-of-a-seated-man
"“- What a fuss this sour-face from the fifth floor is making! Wearing a hat just to buy two cups of milk for one sou! - Oh, Madame Capitaine, aren’t we fancy today…,” plate 36 Types Parisiens, 1840, Honoré-Victorin Daumier",https://www.artic.edu/artworks/11135/what-a-fuss-this-sour-face-from-the-fifth-floor-is-making-wearing-a-hat-just-to-buy-two-cups-of-milk-for-one-sou-oh-madame-capitaine-aren-t-we-fancy-today-plate-36-types-parisiens
"Bust of a Woman, 1933, Ivan Albright",https://www.artic.edu/artworks/16714/bust-of-a-woman
"Hysteria, 1997, Sam Taylor-Wood",https://www.artic.edu/artworks/184192/hysteria
"Seventeenth-Century Interior, 1877, Charles Gifford Dyer",https://www.artic.edu/artworks/39954/seventeenth-century-interior
"Polycrates and the Fisherman, c. 1664, Salvator Rosa",https://www.artic.edu/artworks/44826/polycrates-and-the-fisherman
"The Certitude of the Never Seen, 1933, Yves Tanguy",https://www.artic.edu/artworks/118735/the-certitude-of-the-never-seen
"Bird’s Nest and Ferns, 1863, Fidelia Bridges",https://www.artic.edu/artworks/69533/bird-s-nest-and-ferns
"The Arcueil Aqueduct at Sceaux Railroad Crossing, 1874, Jean Baptiste Armand Guillaumin",https://www.artic.edu/artworks/33212/the-arcueil-aqueduct-at-sceaux-railroad-crossing
"Picasso at La Californie, Cannes, France, 1957, printed 1973, Irving Penn",https://www.artic.edu/artworks/94524/picasso-at-la-californie-cannes-france
"Le Geant, Champ de Mars, October 18, 1863, probably printed 1880/89, Nadar (Gaspard Félix Tournachon)",https://www.artic.edu/artworks/92202/le-geant-champ-de-mars
"The Women of Thrace, 1907, Jacques Villon",https://www.artic.edu/artworks/12052/the-women-of-thrace
"Highrise City (Hochhausstadt): Perspective View: North-South Street, 1924, Ludwig Karl Hilberseimer",https://www.artic.edu/artworks/101044/highrise-city-hochhausstadt-perspective-view-north-south-street
"Woman Exhaling Smoke from a Pipe, from the series “Ten Classes of Women’s Physiognomy (Fujo ninso juppon)”, c. 1792/93, Kitagawa Utamaro",https://www.artic.edu/artworks/8185/woman-exhaling-smoke-from-a-pipe-from-the-series-ten-classes-of-women-s-physiognomy-fujo-ninso-juppon
"Vase (Vase à Oreilles), c. 1754, Manufacture de porcelaine de Vincennes",https://www.artic.edu/artworks/10896/vase-vase-a-oreilles
"Cleaning the Drapes, from the series House Beautiful: Bringing the War Home, 1967–72, Martha Rosler",https://www.artic.edu/artworks/195585/cleaning-the-drapes-from-the-series-house-beautiful-bringing-the-war-home
"Courtyard, c. 1855, Alexandre Gabriel Decamps",https://www.artic.edu/artworks/881/courtyard
"Woman with Hair in a Bun, c. 1930, Julio González",https://www.artic.edu/artworks/89530/woman-with-hair-in-a-bun
"Beaker (Humpen) with the Ages of Man, c. 1600",https://www.artic.edu/artworks/36112/beaker-humpen-with-the-ages-of-man
"Marie-Berthe Aurenche, Max Ernst, Lee Miller, Man Ray, c. 1930, Man Ray (Emmanuel Radnitzky)",https://www.artic.edu/artworks/120045/marie-berthe-aurenche-max-ernst-lee-miller-man-ray
"Kesa, Edo period (1615–1898), 1784",https://www.artic.edu/artworks/11213/kesa
"The Cloisters, San Lorenzo fuori le mura, 1824, Christoffer Wilhelm Eckersberg",https://www.artic.edu/artworks/64979/the-cloisters-san-lorenzo-fuori-le-mura
"The Crucifixion, c. 1370, Francescuccio Ghissi",https://www.artic.edu/artworks/25770/the-crucifixion
"Interior, called “The Skaters”, c. 1655, Cornelis Visscher",https://www.artic.edu/artworks/9385/interior-called-the-skaters
"Hercules and the Hydra of Lerna, c. 1876, Gustave Moreau",https://www.artic.edu/artworks/100264/hercules-and-the-hydra-of-lerna
"Heracles (Archer), 1909, Emile-Antoine Bourdelle",https://www.artic.edu/artworks/15302/heracles-archer
"Portrait of Mr. Tsuruzo Ishii (Test Print), 1948, Onchi Koshiro",https://www.artic.edu/artworks/15829/portrait-of-mr-tsuruzo-ishii-test-print
"Panels from the High Altar of the Charterhouse of Saint-Honoré, Thuison-les-Abbeville: Pentecost, 1490/1500, French School",https://www.artic.edu/artworks/16316/panels-from-the-high-altar-of-the-charterhouse-of-saint-honore-thuison-les-abbeville-pentecost
"Meeting on the River (parody of Hakurakuten), c. 1767, Suzuki Harunobu",https://www.artic.edu/artworks/20971/meeting-on-the-river-parody-of-hakurakuten
"Sogyo Hachiman, 10th century",https://www.artic.edu/artworks/12341/sogyo-hachiman
"Virgin and Child Enthroned with Saints Peter, Paul, John the Baptist, and Dominic and a Dominican Supplicant, 1325/35, Ugolino di Nerio",https://www.artic.edu/artworks/25774/virgin-and-child-enthroned-with-saints-peter-paul-john-the-baptist-and-dominic-and-a-dominican-supplicant
"111, from 347 Gravures, May 25, 1968, Pablo Picasso",https://www.artic.edu/artworks/111389/111-from-347-gravures
"Kameyama, from the series “Fifty-three Stations of the Tokaido (Tokaido gojusan tsugi)”, c. 1806, Katsushika Hokusai",https://www.artic.edu/artworks/3028/kameyama-from-the-series-fifty-three-stations-of-the-tokaido-tokaido-gojusan-tsugi
"Cushion Cover, 1575/1625",https://www.artic.edu/artworks/5529/cushion-cover
"Saint Catherine of Siena, 1510/15, Spagna, Lo",https://www.artic.edu/artworks/25778/saint-catherine-of-siena
"Women of the Ouled Nayls, 1867, Eugène Fromentin",https://www.artic.edu/artworks/111651/women-of-the-ouled-nayls
"A Young Woman Walking near a Plum Tree, c. 1688",https://www.artic.edu/artworks/19066/a-young-woman-walking-near-a-plum-tree
"The Hand Has Five Fingers (5 Finger hat die Hand), 1928, John Heartfield",https://www.artic.edu/artworks/199186/the-hand-has-five-fingers-5-finger-hat-die-hand
"The Trellis, 1922, Henri Vergé-Sarrat",https://www.artic.edu/artworks/15830/the-trellis
"Japanese Pine, n.d., Bertha E. Jaques",https://www.artic.edu/artworks/11925/japanese-pine
"Canal in Venice, 1880s, Martin Rico y Ortega",https://www.artic.edu/artworks/46092/canal-in-venice
"Woman in a Cabaret, n.d., Georges Emile Capon",https://www.artic.edu/artworks/15842/woman-in-a-cabaret
"The Time-Binder, 1922, Mira Edgerly-Korzybska",https://www.artic.edu/artworks/4699/the-time-binder
"Knight, Death, and the Devil, 1513, Albrecht Dürer",https://www.artic.edu/artworks/11100/knight-death-and-the-devil
"Walking Stick-Hammer-Sword-Wheellock Pistol, 1590/1600",https://www.artic.edu/artworks/106204/walking-stick-hammer-sword-wheellock-pistol
"Ichikawa Danjuro VI, c. 1792/93, Katsushika Hokusai",https://www.artic.edu/artworks/15817/ichikawa-danjuro-vi
"Portrait of the Artist by Francis Bacon, 1970–71, Richard Hamilton",https://www.artic.edu/artworks/62703/portrait-of-the-artist-by-francis-bacon
"Negro Barber Shop Interior, Atlanta, 1936, printed c. 1962, Walker Evans",https://www.artic.edu/artworks/88596/negro-barber-shop-interior-atlanta
"Angry Young Machine, 1959, H. C. Westermann",https://www.artic.edu/artworks/48518/angry-young-machine
"The Woodchopper, 1858/66, Jean François Millet",https://www.artic.edu/artworks/81521/the-woodchopper
"The Marsh, 1871, Charles François Daubigny",https://www.artic.edu/artworks/880/the-marsh
"Campfire, Adirondacks, c. 1892, Winslow Homer",https://www.artic.edu/artworks/16782/campfire-adirondacks
"Mary Cassatt in the Paintings Gallery at the Louvre, 1879–80, Hilaire Germain Edgar Degas",https://www.artic.edu/artworks/76002/mary-cassatt-in-the-paintings-gallery-at-the-louvre
"Maria Lani, 1928, Georges Rouault",https://www.artic.edu/artworks/12925/maria-lani
"Altarpiece from Thuison-les-Abbeville: Saint Hugh of Lincoln, 1490/1500, French School",https://www.artic.edu/artworks/16321/altarpiece-from-thuison-les-abbeville-saint-hugh-of-lincoln
"May Belfort, from Treize Lithographies, 1898, published before 1906, Henri de Toulouse-Lautrec",https://www.artic.edu/artworks/7732/may-belfort-from-treize-lithographies
"Figure in Pink and Yellow, 1914, Manierre Dawson",https://www.artic.edu/artworks/185780/figure-in-pink-and-yellow
"Pocket Chess Set, 1944, Marcel Duchamp",https://www.artic.edu/artworks/210442/pocket-chess-set
"House of Mystery, 1924, Charles Ephraim Burchfield",https://www.artic.edu/artworks/41861/house-of-mystery
"The Monstrous Sow of Landser, 1496, Albrecht Dürer",https://www.artic.edu/artworks/4055/the-monstrous-sow-of-landser
"Composition with Figures, 1932, Joan Miró",https://www.artic.edu/artworks/49717/composition-with-figures
"Seated Nude Woman, Three-Quarter View, 1931, Henri Matisse",https://www.artic.edu/artworks/6154/seated-nude-woman-three-quarter-view
"Battered Man, 1948, Gordon Parks",https://www.artic.edu/artworks/184378/battered-man
"Queen Margaret of Spain, c. 1610, Andrés  López  López Polanco",https://www.artic.edu/artworks/111637/queen-margaret-of-spain
"Portrait of a Peasant Woman, 1898/99, Paula Modersohn-Becker",https://www.artic.edu/artworks/94578/portrait-of-a-peasant-woman
"Roses in a Bowl, 1881, Henri Fantin-Latour",https://www.artic.edu/artworks/20534/roses-in-a-bowl
"The Balcony, c. 1949, René Magritte",https://www.artic.edu/artworks/117496/the-balcony
"Chips an’ Shavings, c. 1923, Gustave Baumann",https://www.artic.edu/artworks/2743/chips-an-shavings
"Untitled (Lighted Dancer), c. 1949, Joseph Cornell",https://www.artic.edu/artworks/99762/untitled-lighted-dancer
"Mahatma Gandhi (Bapuji) on the Dandi March, 1930, Nandalal Bose",https://www.artic.edu/artworks/201528/mahatma-gandhi-bapuji-on-the-dandi-march
"Cows in a Pond at Sunset, 1860, Sanford Robinson Gifford",https://www.artic.edu/artworks/72398/cows-in-a-pond-at-sunset
"Ornament with Owl Mocked by Day Birds, c. 1474, Martin Schongauer",https://www.artic.edu/artworks/4016/ornament-with-owl-mocked-by-day-birds
"Cover, c. 1765, Qing dynasty (1644–1911), Qianlong reign mark and period (1736–95)",https://www.artic.edu/artworks/2532/cover
"Untitled, 1940, Yves Tanguy",https://www.artic.edu/artworks/118737/untitled
"Ishibei, from the series “Fifty-three Stations of the Tokaido (Tokaido gojusan tsugi)”, c. 1806, Katsushika Hokusai",https://www.artic.edu/artworks/3046/ishibei-from-the-series-fifty-three-stations-of-the-tokaido-tokaido-gojusan-tsugi
"Landscape with Cottages, 1809/10, John Constable",https://www.artic.edu/artworks/49651/landscape-with-cottages
"Untitled (Bird), 1948, Joseph Cornell",https://www.artic.edu/artworks/99788/untitled-bird
"Ceremonial Basket with Spiral Design, c. 1910, Apache: Western Apache",https://www.artic.edu/artworks/110687/ceremonial-basket-with-spiral-design
"Stirrup Spout Vessel with Fineline Bird Motifs, 100 B.C./A.D. 500, Moche",https://www.artic.edu/artworks/8972/stirrup-spout-vessel-with-fineline-bird-motifs
"Water-Lily Vessel, A.D. 750/800, Ah Maxam",https://www.artic.edu/artworks/126858/water-lily-vessel
"Nude Bent Forward, Paris, c. 1930, Lee Miller",https://www.artic.edu/artworks/92196/nude-bent-forward-paris
"North River Shad, c. 1910, William Merritt Chase",https://www.artic.edu/artworks/69774/north-river-shad
"”- My God! Madame Bombec, what happened to you? - Don’t mention it, my dear, it’s horrible. The world is going from bad to worse, I would rather be janitor at the botanical garden! You know that Bézuchet from the fifth floor, the one that always insists that her good-for-nothing daughter who is fat around the hips has become….. I only replied: Ah, well! - And that’s the person who… - Of course, even a blind man can see that!,” plate 30 from Types Parisiens, 1840, Honoré-Victorin Daumier",https://www.artic.edu/artworks/21535/my-god-madame-bombec-what-happened-to-you-don-t-mention-it-my-dear-it-s-horrible-the-world-is-going-from-bad-to-worse-i-would-rather-be-janitor-at-the-botanical-garden-you-know-that-bezuchet-from-the-fifth-floor-the-one-that-always-insists-that-her-good-for-nothing-daughter-who-is-fat-around-the-hips-has-become-i-only-replied-ah-well-and-that-s-the-person-who-of-course-even-a-blind-man-can-see-that-plate-30-from-types-parisiens
"Wedding Basket, c. 1895, Pomo",https://www.artic.edu/artworks/155966/wedding-basket
"Close Pin Prop, 1969, Richard Serra",https://www.artic.edu/artworks/111638/close-pin-prop
"George Washington, 1793, Edward Savage",https://www.artic.edu/artworks/80460/george-washington
"Allegorical Group of Victory Supported by Valor, 1700/10, Francesco Bertos",https://www.artic.edu/artworks/20491/allegorical-group-of-victory-supported-by-valor
"House and Flowering Cherry Trees, Hamburg, 1907, Auguste Herbin",https://www.artic.edu/artworks/8977/house-and-flowering-cherry-trees-hamburg
"Sampler, 1852, Eliza Ryan",https://www.artic.edu/artworks/4740/sampler
"Abesti Gogora III, 1962/64, Eduardo Chillida",https://www.artic.edu/artworks/27612/abesti-gogora-iii
"A Yakshi Grasping a Tree, Kushan period, 2nd/3rd century",https://www.artic.edu/artworks/8378/a-yakshi-grasping-a-tree
"Indians Attacking at Harry Harry, 1910, Max Slevogt",https://www.artic.edu/artworks/18641/indians-attacking-at-harry-harry
"White Disk III, 1961, Ellsworth Kelly",https://www.artic.edu/artworks/100251/white-disk-iii
"Val d’Ema, 1909, Donald Shaw MacLaughlan",https://www.artic.edu/artworks/12041/val-d-ema
"Teardrop Bottle with Tigereye Glaze, 1963, Gertrud Natzler",https://www.artic.edu/artworks/19261/teardrop-bottle-with-tigereye-glaze
"Untitled (Black Hunter), c. 1939, Joseph Cornell",https://www.artic.edu/artworks/99765/untitled-black-hunter
"Christ on the Living Cross, 1420/30, Master of Saint Veronica",https://www.artic.edu/artworks/22871/christ-on-the-living-cross
"Malbroug s’en va-t-en Guerre…, 1835, Honoré-Victorin Daumier",https://www.artic.edu/artworks/9423/malbroug-s-en-va-t-en-guerre
"Porcupine, from A Bestiary, 1962, Aubrey Schwartz",https://www.artic.edu/artworks/20212/porcupine-from-a-bestiary
"Cat Making Up, 1962, Inagaki Tomoo",https://www.artic.edu/artworks/16227/cat-making-up
"Lion, c. 1880, Rosa Bonheur",https://www.artic.edu/artworks/70989/lion
"The Seven Sages of the Bamboo Grove (Chikurin shichiken), from the series “A Set of Ten Famous Numbers for the Katsushika Circle (Katsushikaren meisu juban)”, c. 1828, Yashima Gakutei",https://www.artic.edu/artworks/23443/the-seven-sages-of-the-bamboo-grove-chikurin-shichiken-from-the-series-a-set-of-ten-famous-numbers-for-the-katsushika-circle-katsushikaren-meisu-juban
"Night Shadows, 1921, Edward Hopper",https://www.artic.edu/artworks/50097/night-shadows
"Bust of Queen Luise of Prussia, modeled 1799, cast 1819/21, Johann Gottfried Schadow",https://www.artic.edu/artworks/186722/bust-of-queen-luise-of-prussia
"Container for Kohl in the Shape of a Palm Column, New Kingdom, mid–Dynasty 18 or 19, about 1352–1213 BC, Ancient Egyptian",https://www.artic.edu/artworks/43353/container-for-kohl-in-the-shape-of-a-palm-column
"Portrait of a Seated Woman, 1560/65, Anthonis Mor",https://www.artic.edu/artworks/40599/portrait-of-a-seated-woman
"Portrait of a Young Woman, c. 1690, Aert de Gelder",https://www.artic.edu/artworks/105887/portrait-of-a-young-woman
"Sir John Shaw and his Family in the Park at Eltham Lodge, Kent, 1761, Arthur Devis",https://www.artic.edu/artworks/75393/sir-john-shaw-and-his-family-in-the-park-at-eltham-lodge-kent
"The Descent from the Cross, c. 1485, Bernardino Jacobi Butinone",https://www.artic.edu/artworks/16137/the-descent-from-the-cross
"Ceremony of the Fastest Horse, c. 1900, Frederic Remington",https://www.artic.edu/artworks/97890/ceremony-of-the-fastest-horse
"The Powerhouse, Falls Village, Connecticut, c. 1914, Walter Elmer Schofield",https://www.artic.edu/artworks/13753/the-powerhouse-falls-village-connecticut
"Figure (Mbulu Ngulu), Late 19th/early 20th century, Kota",https://www.artic.edu/artworks/191213/figure-mbulu-ngulu
"St. Barbara, n.d., Martin Schongauer",https://www.artic.edu/artworks/3938/st-barbara
"Cagnes, 1910, André Derain",https://www.artic.edu/artworks/12402/cagnes
"Capital with the Adoration of the Magi, 1110/30",https://www.artic.edu/artworks/50921/capital-with-the-adoration-of-the-magi
"29 June 1965, 1965, Pierre Soulages",https://www.artic.edu/artworks/65842/29-june-1965
"St. Albert of Louvain, 1620, Peter Paul Rubens",https://www.artic.edu/artworks/28874/st-albert-of-louvain
"Le Casset; Vallee du Monetier, n.d., James Duffield Harding",https://www.artic.edu/artworks/11211/le-casset-vallee-du-monetier
"Genuflection of the Bishop, 1963, Jean Dubuffet",https://www.artic.edu/artworks/22245/genuflection-of-the-bishop
"Minotaur Caressing Sleeping Woman, from the Suite Vollard, June 18, 1933, printed 1939, Pablo Picasso",https://www.artic.edu/artworks/6079/minotaur-caressing-sleeping-woman-from-the-suite-vollard
"Analogía I, (2da. versión), 1970/77, Victor Grippo",https://www.artic.edu/artworks/196410/analogia-i-2da-version
"Untitled (Still Life with Lobster), c. 1930, Jan Matulka",https://www.artic.edu/artworks/185778/untitled-still-life-with-lobster
"Dish, Late 12th/early 13th century, Islamic",https://www.artic.edu/artworks/18988/dish
"Untitled (Fear is the Most Elegant Weapon…), from Inflammatory Essays, 1979/82, Jenny Holzer",https://www.artic.edu/artworks/151321/untitled-fear-is-the-most-elegant-weapon-from-inflammatory-essays
"The Truck, 1966, George Segal",https://www.artic.edu/artworks/25674/the-truck
"Portrait of a Woman, 1749/52, John Wollaston",https://www.artic.edu/artworks/79765/portrait-of-a-woman
"Desk, 1908, Frank Lloyd Wright",https://www.artic.edu/artworks/38857/desk
"Venus with Cupid and Putto, 1527/30, Parmigianino",https://www.artic.edu/artworks/12124/venus-with-cupid-and-putto
"The Festival, 1875, Sir John Edward Poynter",https://www.artic.edu/artworks/160032/the-festival
"Amber Garden, 1919, Arthur B. Davies",https://www.artic.edu/artworks/4794/amber-garden
"Major-General Henry Dearborn, 1812, Gilbert Stuart",https://www.artic.edu/artworks/69619/major-general-henry-dearborn
"Prout’s Neck, Breakers, 1883, Winslow Homer",https://www.artic.edu/artworks/16815/prout-s-neck-breakers
"Earthly Paradise, 1888, Paul Gauguin",https://www.artic.edu/artworks/188629/earthly-paradise
"Mihogaseki Beach in Izumo Province (Izumo Mihogaseki), from the series “Souvenirs of Travel, Third Series (Tabi miyage dai sanshu)”, 1924, Kawase Hasui",https://www.artic.edu/artworks/2597/mihogaseki-beach-in-izumo-province-izumo-mihogaseki-from-the-series-souvenirs-of-travel-third-series-tabi-miyage-dai-sanshu
"Untitled (For Tamara Toumanova), c. 1940, Joseph Cornell",https://www.artic.edu/artworks/99784/untitled-for-tamara-toumanova
"Hunting Party (Jagdgesellschaft), 1966, Gerhard Richter",https://www.artic.edu/artworks/229365/hunting-party-jagdgesellschaft
"Abalone Divers, c. 1797/98, Kitagawa Utamaro",https://www.artic.edu/artworks/44659/abalone-divers
"Anita [Nude Back], 1925, printed 1953/54, Edward Weston",https://www.artic.edu/artworks/120825/anita-nude-back
"Human Figure with Two Birds, 1925/29, Max Ernst",https://www.artic.edu/artworks/90445/human-figure-with-two-birds
"The Gulf of Salerno, 1783/85, Joseph Wright of Derby",https://www.artic.edu/artworks/180711/the-gulf-of-salerno
"Figure, 1935, Pablo Picasso",https://www.artic.edu/artworks/109484/figure
"The Bishop’s Apricot, 1924, Gustave Baumann",https://www.artic.edu/artworks/18259/the-bishop-s-apricot
"Concerto Spirituale [with] Messengers Boch and Abel, n.d., Thomas Rowlandson",https://www.artic.edu/artworks/14788/concerto-spirituale-with-messengers-boch-and-abel
"As (Coin) Portraying Drusus, AD 21/22, Ancient Roman",https://www.artic.edu/artworks/10081/as-coin-portraying-drusus
"Exquisite Corpse, 1928, Man Ray (Emmanuel Radnitzky)",https://www.artic.edu/artworks/119118/exquisite-corpse
"Minature Handled Bowl with Textile-like Design, A.D. 1450/1532, Inca",https://www.artic.edu/artworks/3616/minature-handled-bowl-with-textile-like-design
"Border, 1601/50",https://www.artic.edu/artworks/2272/border
"Theater Accident, New York, 1947, printed 1984, Irving Penn",https://www.artic.edu/artworks/144823/theater-accident-new-york
"Plate, c. 1770, Niderviller Pottery and Porcelain Factory",https://www.artic.edu/artworks/6694/plate
"Dragon Knows Dragon (Ryu wa ryu wo shiru), 1969, Shiryu Morita",https://www.artic.edu/artworks/62558/dragon-knows-dragon-ryu-wa-ryu-wo-shiru
"A Shipwreck, 1805/07, Charles Turner",https://www.artic.edu/artworks/159063/a-shipwreck
"Spring in France, 1890, Robert William Vonnoh",https://www.artic.edu/artworks/97292/spring-in-france
"The Lonely Farm, Nantucket, 1892, George Inness",https://www.artic.edu/artworks/69844/the-lonely-farm-nantucket
"The Rat Killer, n.d., Pierre François Basan",https://www.artic.edu/artworks/12190/the-rat-killer
"Louise Nude on a Sofa, 1895, Suzanne Valadon",https://www.artic.edu/artworks/3419/louise-nude-on-a-sofa
"Twentieth Century Ruin, 1932, Alexander Brook",https://www.artic.edu/artworks/26643/twentieth-century-ruin
"The Tub, modeled 1889 (cast 1919/21), Hilaire Germain Edgar Degas",https://www.artic.edu/artworks/68369/the-tub
"Untitled (Sequestered Bower), c. 1948, Joseph Cornell",https://www.artic.edu/artworks/99783/untitled-sequestered-bower
"Chizuka no Fumi no Bosetsu (The Evening Snow of a Thousand Bundles of Love-Letters), the Lovers Ohatsu and Tokubei, from the series “Sugata Hakkei (Eight Views of Lovers)”, c. 1772, Ippitsusai Buncho",https://www.artic.edu/artworks/3554/chizuka-no-fumi-no-bosetsu-the-evening-snow-of-a-thousand-bundles-of-love-letters-the-lovers-ohatsu-and-tokubei-from-the-series-sugata-hakkei-eight-views-of-lovers
"The Actor Tomizawa Montaro I as Miyako no Mae in the play “Izu Genji Horai Yakata,” performed at the Ichimura Theater in the eleventh month, 1736, 1736, Torii Kiyomasu II",https://www.artic.edu/artworks/19331/the-actor-tomizawa-montaro-i-as-miyako-no-mae-in-the-play-izu-genji-horai-yakata-performed-at-the-ichimura-theater-in-the-eleventh-month-1736
"Duel in the sun, 1973, Salvador Dalí",https://www.artic.edu/artworks/48819/duel-in-the-sun
"Holy Family, 1520/30, Joos van Cleve",https://www.artic.edu/artworks/16253/holy-family
"A Lady with Three Servants, from the series “A Brocade of Eastern Manners (Fuzoku Azuma no nishiki)”, c. 1783/84, Torii Kiyonaga",https://www.artic.edu/artworks/22573/a-lady-with-three-servants-from-the-series-a-brocade-of-eastern-manners-fuzoku-azuma-no-nishiki
"Female Figure (Akua’ba), Mid–19th/early 20th century, Fante",https://www.artic.edu/artworks/144352/female-figure-akua-ba
"Hercules Killing Cacus, 1588, Hendrick Goltzius",https://www.artic.edu/artworks/6135/hercules-killing-cacus
"Mother and Child, 1957, Wifredo Lam",https://www.artic.edu/artworks/119124/mother-and-child
"Landscape, Sunset, 1887/89, George Inness",https://www.artic.edu/artworks/64740/landscape-sunset
"St. Gerardo Sagredo, Bishop of Csanád, 1633, Bernardo Strozzi",https://www.artic.edu/artworks/8104/st-gerardo-sagredo-bishop-of-csanad
"Untitled, 1969, Mark Rothko",https://www.artic.edu/artworks/105236/untitled
"Portrait of Elizabeth of Austria, Wife of King Charles IX of France, after 1571, Imitator of François Clouet",https://www.artic.edu/artworks/107920/portrait-of-elizabeth-of-austria-wife-of-king-charles-ix-of-france
"Gauntlet from a Tournament Garniture of a Hapsburg Prince, 1571, Anton Peffenhauser",https://www.artic.edu/artworks/116439/gauntlet-from-a-tournament-garniture-of-a-hapsburg-prince
"People Crossing an Arched Bridge (Ariwara no Narihira) from the series “One Hundred Poems as Explained by the Nurse (Hyakunin isshu uba ga etoki)”, c. 1835/36, Katsushika Hokusai",https://www.artic.edu/artworks/89524/people-crossing-an-arched-bridge-ariwara-no-narihira-from-the-series-one-hundred-poems-as-explained-by-the-nurse-hyakunin-isshu-uba-ga-etoki
"Couple, 1926, Alberto Giacometti",https://www.artic.edu/artworks/20527/couple
"Carpet, 1875/1900",https://www.artic.edu/artworks/14840/carpet
"Half-Length Praying Figure, n.d., Style of Carlo Cignani",https://www.artic.edu/artworks/3189/half-length-praying-figure
"Untitled (girlfriend), 1993, Richard Prince",https://www.artic.edu/artworks/229384/untitled-girlfriend
"Praying Saint (Moses?) with Christ in a Historiated Initial “L”, from a Choirbook, c. 1300, Neri da Rimini",https://www.artic.edu/artworks/11782/praying-saint-moses-with-christ-in-a-historiated-initial-l-from-a-choirbook
"Spanish Dance, modeled c. 1883 (cast 1919/21), Hilaire Germain Edgar Degas",https://www.artic.edu/artworks/133719/spanish-dance
"Nude No. 71, New York, 1949/50, printed 1949/50, Irving Penn",https://www.artic.edu/artworks/144883/nude-no-71-new-york
"Yui, from the series “”Fifty-three Stations of the Tokaido (Tokaido gojusan tsugi)”“, c. 1806, Katsushika Hokusai",https://www.artic.edu/artworks/2920/yui-from-the-series-fifty-three-stations-of-the-tokaido-tokaido-gojusan-tsugi
"Sailboat, 1932, John Marin",https://www.artic.edu/artworks/2944/sailboat
"American Landscape, 1920, Edward Hopper",https://www.artic.edu/artworks/50109/american-landscape
"Roger and Angelica Mounted on the Hippogriff, modeled c. 1840 (cast c. 1884), Antoine Louis Barye",https://www.artic.edu/artworks/102105/roger-and-angelica-mounted-on-the-hippogriff
"Fragments, A.D. 1000/1476, Chancay",https://www.artic.edu/artworks/2143/fragments
"Untitled, c. 1960, Yasuhiro Ishimoto",https://www.artic.edu/artworks/12492/untitled
