index,artwork_title,metadata,url
2000,"Jane Shore, 1828, Eugène Delacroix","Artist
Eugène Delacroix
Title
Jane Shore
Origin
France
Date
1828
Medium
Lithograph in black on light-gray China paper laid down on white wove paper
Dimensions
260 × 345 mm (image); 292 × 377 mm (chine); 490 × 635 mm (sheet)
Credit Line
Gift of Mr. and Mrs. Cyrus H. Adams
Reference Number
1965.457",https://www.artic.edu/artworks/23651/jane-shore
2001,"Landscape with Two Figures and Castle on Hill, n.d., Allart van Everdingen","Artist
Allart van Everdingen
Title
Landscape with Two Figures and Castle on Hill
Origin
Holland
Date
Artist's working dates 1641–1675
Medium
Brush and brown wash over black chalk on blue laid paper, laid down on card
Dimensions
120 x 210 mm
Credit Line
The Leonora Hall Gurley Memorial Collection
Reference Number
1922.3985",https://www.artic.edu/artworks/20170/landscape-with-two-figures-and-castle-on-hill
2002,"Untitled, 1968, Donald Judd","Artist
Donald Judd
Title
Untitled
Origin
United States
Date
1968
Medium
Stainless steel and amber Plexiglas, 10 units
Dimensions
15.2 × 68.6 × 61 cm (6 × 27 × 24 in.), each unit
Credit Line
Through prior gifts of Mrs. Morton G. Schamberg and Mr. and Mrs. Edward E. Hokin; Charles H. and Mary F. Worcester Collection Fund; through prior gifts and bequest of Solomon B. Smith, Dr. and Mrs. Irving Forman, Mrs. Roy J. Friedman and Mr. and Mrs. Samuel A. Marx; Mary and Leigh B. Block Fund; through prior purchase of the Twentieth-Century Discretionary Fund; Ada Turnbull Hertle and Frederick W. Renshaw Acquisition funds; through prior gift of Florene May Marx and Samuel A. Marx; restricted gift of Aaron Fleischman; Alyce and Edwin DeCosta and Walter E. Heller Foundation Fund; Wirt D. Walker Trust; restricted gifts of Judith Neisser and Janet and Craig Duchossois; through prior gift of Joachim Jean Aberbach and Julian J. Aberbach; Wilson L. Mead, Watson F. Blair Prize, Marian and Samuel Klasstorner, and Gladys N. Anderson funds; through prior bequest of Marguerita S. Ritman; Mr. and Mrs. Frank G. Logan Prize Fund; through prior gifts of Mrs. Leonard Haddad and an Anonymous Donor
Reference Number
2014.5
Copyright
© 2018 Judd Foundation / Artists Rights Society (ARS), New York.",https://www.artic.edu/artworks/220158/untitled
2003,"Woman Walking with a Parasol (study for La Grande Jatte), 1884, Georges Seurat","Artist
Georges Seurat
Title
Woman Walking with a Parasol (study for La Grande Jatte)
Origin
France
Date
1884
Medium
Conté crayon on cream laid paper
Dimensions
317 × 241 mm
Credit Line
Bequest of Abby Aldrich Rockefeller
Reference Number
1999.8",https://www.artic.edu/artworks/150774/woman-walking-with-a-parasol-study-for-la-grande-jatte
2004,"Standard Station, 1966, Edward Joseph Ruscha","Artist
Edward Joseph Ruscha
Title
Standard Station
Origin
United States
Date
Made 1966
Medium
Color screenprint on ivory wove paper
Dimensions
494 x 935 mm (image); 647 x 1009 mm (sheet)
Credit Line
Harold Joachim Purchase Fund
Reference Number
1974.59b",https://www.artic.edu/artworks/118130/standard-station
2005,"Dish, Mid–2nd/early 1st century BC, Ancient Greek","Culture
Ancient Greek
Title
Dish
Origin
Eastern Mediterranean Region
Date
Made 150 BC–50 BC
Medium
Glass, mosaic glass technique
Dimensions
H. 3.2 cm (1 1/4 in.); diam. 13.3 cm (5 1/4 in.)
Credit Line
Katherine K. Adler Memorial Fund
Reference Number
2004.722",https://www.artic.edu/artworks/184325/dish
2006,"Crowned and Bejewelled Buddha Seated on an Elephant Throne, Late 19th century","Title
Crowned and Bejewelled Buddha Seated on an Elephant Throne
Origin
Burma
Date
1850–1900
Medium
Gilded and lacquered wood with paint and colored glass
Dimensions
144.5 × 85.2 × 49.2 cm (56 7/8 × 33 9/16 × 19 3/8 in.)
Credit Line
James W. and Marilynn Alsdorf Collection
Reference Number
1983.979",https://www.artic.edu/artworks/101031/crowned-and-bejewelled-buddha-seated-on-an-elephant-throne
2007,"Still Life with Fish and Shells, 1898, James Ensor","Artist
James Ensor
Title
Still Life with Fish and Shells
Origin
Belgium
Date
1888
Medium
Oil on canvas
Inscriptions
Inscribed in lower right: Ensor
Dimensions
31 7/8 × 39 1/2 in. (81 × 100.5 cm)
Credit Line
Gift of Mary and Leigh Block
Reference Number
1978.96
Copyright
© 2018 Artists Rights Society (ARS), New York / SABAM, Brussels",https://www.artic.edu/artworks/52146/still-life-with-fish-and-shells
2008,"The Dwarf, 1937, Georges Rouault","Artist
Georges Rouault
Title
The Dwarf
Origin
France
Date
1937
Medium
Oil on paper, lined to canvas
Inscriptions
Signed, .l.r.: ""G Rouault""
Dimensions
27 1/4 × 19 3/4 in. (69.2 × 50 cm)
Credit Line
Gift of Mr. and Mrs. Max Epstein
Reference Number
1946.96
Copyright
© 2018 Artists Rights Society (ARS), New York / ADAGP, Paris",https://www.artic.edu/artworks/54891/the-dwarf
2009,"Zenobia, Queen of Palmyra, modeled c. 1859; carved after 1859, Harriet Hosmer","Artist
Harriet Hosmer (Sculptor)
Title
Zenobia, Queen of Palmyra
Origin
United States
Date
1852–1862
Medium
Marble
Inscriptions
Inscribed on the back: ""HARRIET HOSMER / FECIT ROMAE""
Dimensions
86.4 × 57.2 × 31.8 cm (34 × 22 1/2 × 12 1/2 in.)
Credit Line
Restricted gift of the Antiquarian Society
Reference Number
1993.260",https://www.artic.edu/artworks/125652/zenobia-queen-of-palmyra
2010,"Italian Landscape with Travelers, 1645/50, Jan Both","Artist
Jan Both
Title
Italian Landscape with Travelers
Origin
Holland
Date
1645–1650
Medium
Oil on canvas
Inscriptions
signed lower left corner: JBoth (initials in monogram)
Dimensions
49.5 × 61 cm (19 1/2 × 24 in. )
Credit Line
Alexander A. McKay and Annie Swan Coburn funds, restricted gift of Julius Lewis
Reference Number
1987.67",https://www.artic.edu/artworks/69041/italian-landscape-with-travelers
2011,"Untitled (girlfriend), 2000, Richard Prince","Artist
Richard Prince
Title
Untitled (girlfriend)
Origin
United States
Date
Made 2000
Medium
Chromogenic print; artist's proof from an edition of two, with one artist's proof
Dimensions
179.1 × 125.7 cm (70 1/2 × 49 1/2 in.)
Credit Line
Gift of Edlis Neeson Collection
Reference Number
2015.153",https://www.artic.edu/artworks/229385/untitled-girlfriend
2012,"Untitled, September 27, 1981, Keith Haring","Artist
Keith Haring
Title
Untitled
Origin
United States
Date
1981
Medium
Brush and black ink on white board
Dimensions
565 x 765 mm
Credit Line
Gift of Lannan Foundation
Reference Number
1997.112",https://www.artic.edu/artworks/146886/untitled
2013,"Friar Pedro Binds El Maragato with a Rope, c. 1806, Francisco José de Goya y Lucientes","Artist
Francisco José de Goya y Lucientes
Title
Friar Pedro Binds El Maragato with a Rope
Origin
Spain
Date
1801–1811
Medium
Oil on panel
Dimensions
11 1/2 × 15 5/8 in. (29.2 × 38.5 cm)
Credit Line
Mr. and Mrs. Martin A. Ryerson Collection
Reference Number
1933.1076",https://www.artic.edu/artworks/16365/friar-pedro-binds-el-maragato-with-a-rope
2014,"Mother and Child, 1963, Rudy Pozzatti","Artist
Rudy Pozzatti
Title
Mother and Child
Origin
United States
Date
1963
Medium
Color lithograph from stone and zinc plate on white Nacre paper
Dimensions
770 x 570 mm (image/sheet)
Credit Line
Gift of Burt Kleiner
Reference Number
1963.1230",https://www.artic.edu/artworks/19340/mother-and-child
