index,artwork_title,metadata,url
2600,"Fountain Spout, 1st century AD, Ancient Roman","Culture
Ancient Roman
Title
Fountain Spout
Origin
Pompeii
Date
1 AD–100 AD
Medium
Marble
Dimensions
24.1 × 20.3 × 5.7 cm (9 1/2 × 8 × 2 1/4 in.)
Credit Line
Gift of Mrs. Henry Pope Jr.
Reference Number
1961.108",https://www.artic.edu/artworks/13070/fountain-spout
2601,"The Massacre of the Innocents, 1920, Max Ernst","Artist
Max Ernst
Title
The Massacre of the Innocents
Origin
United States
Date
1920
Medium
Black-and-white photograph with hand-coloring in watercolor, gouache, and black ink, laid down on tan wove wood-pulp paper
Dimensions
215 × 289 mm (primary support); 295 × 380 mm (secondary support, sight)
Credit Line
Lindy and Edwin Bergman Collection
Reference Number
2018.316
Copyright
© 2018 Artists Rights Society (ARS), New York / ADAGP, Paris",https://www.artic.edu/artworks/118684/the-massacre-of-the-innocents
2602,"Landscape, 1930, Rufino Tamayo","Artist
Rufino Tamayo
Title
Landscape
Origin
México
Date
1930
Medium
Oil on canvas
Inscriptions
signed and dated: Tamayo '30
Dimensions
69.8 × 80 cm (27 1/2 × 31 1/2 in.)
Credit Line
Gift of Dr. John J. Ireland
Reference Number
1965.1172
Copyright
© Tamayo Heirs / Mexico / Licensed by VAGA at Artists Rights Society (ARS), NY",https://www.artic.edu/artworks/24661/landscape
2603,"Portrait of Brett Weston, 1943, Edward Weston","Artist
Edward Weston
Title
Portrait of Brett Weston
Origin
United States
Date
Made 1943
Medium
Gelatin silver print
Dimensions
19.4 × 24.6 cm (image); 34 × 39.5 cm (mount)
Credit Line
Restricted gift of Mrs. Everett Kovler
Reference Number
1964.134",https://www.artic.edu/artworks/20468/portrait-of-brett-weston
2604,"Afternoon Sun, Crater Lake National Park, Oregon, 1943, printed 1950, Ansel Adams","Artist
Ansel Adams
Title
Afternoon Sun, Crater Lake National Park, Oregon
Origin
United States
Date
Made 1943
Medium
Gelatin silver print, No. 8 from ""Portfolio Two: The National Parks and Monuments"" (1950); edition 82/100
Inscriptions
Signed recto, on mount, lower right, below image, in graphite: ""Ansel Adams""; inscribed recto, on mount, lower left, in graphite: ""8""; stamped and inscribed verso, on mount, upper center, in black and red ink: ""PRINT NO. [stamped in black ink] 8 [inscribed in red ink] OF SET NO. [stamped in black ink] 82 [inscribed in red ink] / OF PORTFOLIO TWO / BY ANSEL ADAMS, 1950 / REPRODUCTION RIGHTS RESERVED [stamped in black ink]""
Dimensions
23.6 × 18.4 cm (image/paper); 45.7 × 35.3 cm (mount)
Credit Line
Photography Gallery Fund
Reference Number
1959.530.8
Copyright
© The Ansel Adams Publishing Rights Trust.",https://www.artic.edu/artworks/121687/afternoon-sun-crater-lake-national-park-oregon
2605,"I Walk To and Fro through Civilization and I Talk As I Walk (Follow Me, the Monk), 1926/27, Ivan Albright","Artist
Ivan Albright
Title
I Walk To and Fro through Civilization and I Talk As I Walk (Follow Me, the Monk)
Origin
United States
Date
c. 1926–1927
Medium
Oil on canvas
Inscriptions
Signed lower right: Ivan Le Lorraine Albright
Dimensions
185.4 × 91.4 cm (73 × 36 in.)
Credit Line
Gift of Ivan Albright
Reference Number
1977.28
Copyright
© The Art Institute of Chicago.",https://www.artic.edu/artworks/93805/i-walk-to-and-fro-through-civilization-and-i-talk-as-i-walk-follow-me-the-monk
2606,"Landscape, 1917, Heinrich Campendonk","Artist
Heinrich Campendonk
Title
Landscape
Origin
Germany
Date
1917
Medium
Oil on canvas
Inscriptions
Signed and dated, l.r.: ""C 17""
Dimensions
26 3/8 × 19 1/2 in. (67 × 49.5 cm)
Credit Line
Bequest of Grant J. Pick
Reference Number
1963.361
Copyright
© 2018 Artists Rights Society (ARS), New York / VG Bild-Kunst, Bonn",https://www.artic.edu/artworks/17394/landscape
2607,"Cherry Tree and Pheasant, 1765, Komatsuya Hyakki","Artist
Komatsuya Hyakki
Title
Cherry Tree and Pheasant
Origin
Japan
Date
1765
Medium
Color woodblock print; chuban
Dimensions
26 x 19.4 cm (10 1/4 x 7 5/8 in.)
Credit Line
Clarence Buckingham Collection
Reference Number
1925.2147",https://www.artic.edu/artworks/21090/cherry-tree-and-pheasant
2608,"Bedcover (Roses Quilt), c. 1830/35, Mrs. Keziah Vernon","Artist
Mrs. Keziah Vernon
Title
Bedcover (Roses Quilt)
Origin
United States
Date
1820–1845
Credit Line
Gift of Mrs. Lela M. Riley in memory of her mother, Mrs. Elizabeth Thomas Freeland
Reference Number
1956.138",https://www.artic.edu/artworks/2191/bedcover-roses-quilt
2609,"Miss Expanding Universe, 1932, Isamu Noguchi","Artist
Isamu Noguchi
Title
Miss Expanding Universe
Origin
United States
Date
1932
Medium
Aluminum
Dimensions
113.9 × 88.6 × 15.2 cm (40 7/8 × 34 7/8 × 9 in.)
Credit Line
Bequest of Ruth Page
Reference Number
1994.833
Copyright
© 2018 The Isamu Noguchi Foundation and Garden Museum, New York / Artists Rights Society (ARS), New York",https://www.artic.edu/artworks/136120/miss-expanding-universe
2610,"Head of an Official, Middle Kingdom, Dynasty 13 (1773–1650 BC), Ancient Egyptian","Culture
Ancient Egyptian
Title
Head of an Official
Origin
Egypt
Date
1773 BC–1650 BC
Medium
Granite
Dimensions
33.8 × 46.3 × 26 cm (13 3/4 × 18 1/4 × 10 1/4 in.)
Credit Line
Museum Purchase Fund
Reference Number
1920.261",https://www.artic.edu/artworks/121767/head-of-an-official
2611,"Plaque, 16th/17th century, Edo","Culture
Edo
Title
Plaque
Origin
Nigeria
Date
1501–1700
Medium
Brass
Dimensions
33.9 × 28.8 × 4.7 cm (13 3/8 × 11 3/8 × 1 7/8 in.)
Credit Line
Samuel P. Avery Fund
Reference Number
1933.782",https://www.artic.edu/artworks/15457/plaque
2612,"Daddy Grace at the Altar with Choir, 1938, James VanDerZee","Artist
James VanDerZee
Title
Daddy Grace at the Altar with Choir
Origin
United States
Date
1938
Medium
Gelatin silver print
Inscriptions
Printed/no negative, center right, backwards, in white: ""EASTMAN SAF [torn paper] DAK 1?8""; verso unmarked
Dimensions
19.3 × 24.5 cm (image); 20.3 × 25.3 cm (paper)
Credit Line
The Sandor Family Collection in honor of The School of the Art Institute of Chicago
Reference Number
1994.898",https://www.artic.edu/artworks/139789/daddy-grace-at-the-altar-with-choir
2613,"Holy Family, 1440/60, Northern Netherlandish School","Artist
Northern Netherlandish School
Title
Holy Family
Origin
Northern Netherlands
Date
1475
Medium
Oil on panel
Dimensions
Panel: 50.2 × 47.8 cm (19 3/4 × 18 3/4 in.); Painted Surface: 49.5 × 47.3 cm (19 1/2 × 18 5/8 in.)
Credit Line
Mr. and Mrs. Martin A. Ryerson Collection
Reference Number
1933.1044",https://www.artic.edu/artworks/16275/holy-family
2614,"Speculum Humanae Salvationis, 1382/1406","Title
Speculum Humanae Salvationis
Origin
England
Date
1382–1406
Medium
Manuscript with 111 folios and many drawings in pen and brown and red inks, a few with tempera, and some traced in graphite, with other decorations and Latin inscriptions in Anglicana formata in brownish black and red ink, ruled in red, on vellum, bound in oak boards with worn sheepskin covers, missing chain and clasps from upper cover
Dimensions
260 × 185 mm
Credit Line
Black Fund Income
Reference Number
1923.420",https://www.artic.edu/artworks/8621/speculum-humanae-salvationis
2615,"Armored Guardian King (Tianwang) Trampling Demon, Tang dynasty (618–907 A.D.), first half of 8th century","Title
Armored Guardian King (Tianwang) Trampling Demon
Origin
China
Date
701 AD–750 AD
Medium
Earthenware with three color (sancai) lead glazes and traces of pigments
Dimensions
H. 45 in.
Credit Line
Gift of Bertha Palmer Thorne
Reference Number
1970.1069",https://www.artic.edu/artworks/35367/armored-guardian-king-tianwang-trampling-demon
2616,"Christopher Columbus, 1938/39, Victor Brauner","Artist
Victor Brauner
Title
Christopher Columbus
Origin
Romania
Date
1938–1939
Medium
Oil on canvas
Inscriptions
none
Dimensions
19 3/4 x 25 5/8 in. (50.2 x 65.1 cm)
Credit Line
Gift of Albert A. Robin
Reference Number
2004.764
Copyright
© 2018 Artists Rights Society (ARS), New York / ADAGP, Paris",https://www.artic.edu/artworks/118759/christopher-columbus
2617,"Hair Style of a Married Woman, July 1924, Ito Shinsui","Artist
Ito Shinsui
Title
Hair Style of a Married Woman
Origin
Japan
Date
1919–1929
Medium
Color woodblock print
Dimensions
39.2 × 26.6 cm
Credit Line
Clarence Buckingham Collection
Reference Number
1929.436",https://www.artic.edu/artworks/2714/hair-style-of-a-married-woman
2618,"Beauty standing beside morning glories, c. 1814/17, Kikukawa Eizan","Artist
Kikukawa Eizan
Title
Beauty standing beside morning glories
Origin
Japan
Date
1809–1822
Medium
Color woodblock print; center sheet of oban triptych (right sheet: 1963.613)
Dimensions
37.8 x 24.3 cm (14 7/8 x 9 9/16 in.)
Credit Line
Gift of Joan M. Rock
Reference Number
1963.614",https://www.artic.edu/artworks/18114/beauty-standing-beside-morning-glories
2619,"Detroit, 1943, Harry Callahan","Artist
Harry Callahan
Title
Detroit
Origin
United States
Date
Made 1943
Medium
Gelatin silver print
Inscriptions
No markings recto or verso
Dimensions
24.9 × 33.9 cm (image/paper); 45.9 × 55.8 cm (mount)
Credit Line
Gift of Katharine Kuh
Reference Number
1959.876",https://www.artic.edu/artworks/11366/detroit
2620,"Percolator, 1917, Man Ray (Emmanuel Radnitzky)","Artist
Man Ray (Emmanuel Radnitzky)
Title
Percolator
Origin
United States
Date
1917
Medium
Oil on board
Inscriptions
Signed, l.l.: ""Man Ray 1917""
Dimensions
16 x 12 in. (40.6 x 30.4 cm)
Credit Line
Through prior gift of the Albert Kunstadter Family Foundation
Reference Number
1989.487
Copyright
© 2018 Man Ray Trust / Artists Rights Society (ARS), New York / ADAGP, Paris",https://www.artic.edu/artworks/90862/percolator
2621,"The Infernal Cortege, 1886, James Ensor","Artist
James Ensor
Title
The Infernal Cortege
Origin
Belgium
Date
Made 1886
Medium
Etching on zinc in black on cream Japanese paper
Dimensions
210 × 260 mm (image); 219 × 270 mm (plate); 270 × 415 mm (primary support); 280 × 427 mm (secondary support)
Credit Line
B. E. Bensinger Fund
Reference Number
1960.718
Copyright
© 2018 Artists Rights Society (ARS), New York / SABAM, Brussels",https://www.artic.edu/artworks/12245/the-infernal-cortege
2622,"Assumption of the Virgin, 16th century, Marcellus Koffermans","Artist
Marcellus Koffermans
Title
Assumption of the Virgin
Origin
Flanders
Date
1501–1600
Medium
Oil on panel
Inscriptions
signed & dated 1562
Dimensions
26.9 × 18.4 cm (10 5/8 × 7 1/4 in.) Image: 25.4 × 16.9 cm (10 × 6 5/8 in.)
Credit Line
George F. Harding Collection
Reference Number
1984.17",https://www.artic.edu/artworks/102088/assumption-of-the-virgin
2623,"Fishing off Scarborough, 1882, Winslow Homer","Artist
Winslow Homer
Title
Fishing off Scarborough
Origin
United States
Date
1882
Medium
Graphite and opaque white watercolor, with traces of black chalk, on medium weight, slightly-textured, tan laid paper with blue and red fibers
Inscriptions
Signed recto, lower left, in graphite: ""Winslow Homer/1882""
Dimensions
462 x 618 mm
Credit Line
Mr. and Mrs. Martin A. Ryerson Collection
Reference Number
1933.1239",https://www.artic.edu/artworks/16788/fishing-off-scarborough
2624,"Bound Man (recto); Sketch of Bound Man (verso), 1917/21, John Singer Sargent","Artist
John Singer Sargent
Title
Bound Man (recto); Sketch of Bound Man (verso)
Origin
United States
Date
1917–1921
Medium
Charcoal with stumping and graphite (recto and verso) on cream laid paper
Dimensions
473 x 624 mm
Credit Line
Friends of American Art Collection
Reference Number
1922.5547",https://www.artic.edu/artworks/112752/bound-man-recto-sketch-of-bound-man-verso
2625,"Medusa Marinara, 1997, Vik Muniz","Artist
Vik Muniz
Title
Medusa Marinara
Origin
Brazil
Date
Made 1997
Medium
Silver dye-bleach print
Inscriptions
Unmarked recto; signed and inscribed verso, center, in black ink: ""[artist signature] AP 3/3""
Dimensions
33.8 × 42.7 cm (image); 53.2 × 52.7 cm (paper)
Credit Line
Gift of Vik Muniz and Brent Sikkema, NYC
Reference Number
2000.42",https://www.artic.edu/artworks/154291/medusa-marinara
2626,"Fragment, 1575/1625","Title
Fragment
Origin
Italy
Date
1575–1625
Medium
Silk and gilt-metal strips, plain weave with supplementary facing wefts and supplementary pile warps forming cut and uncut voided velvet
Dimensions
17.4 × 10.3 cm (6 7/8 × 4 1/8 in.)
Credit Line
Gift of Martin A. Ryerson through the Antiquarian Society
Reference Number
1895.818",https://www.artic.edu/artworks/2041/fragment
2627,"Cliffs and Sea, Sainte-Adresse, c. 1864, Claude Monet","Artist
Claude Monet
Title
Cliffs and Sea, Sainte-Adresse
Origin
France
Date
1859–1869
Medium
Black chalk on ivory laid paper
Dimensions
206 × 314 mm
Credit Line
Clarence Buckingham Collection
Reference Number
1987.56",https://www.artic.edu/artworks/108583/cliffs-and-sea-sainte-adresse
2628,"The Bathers, 1885/95, Hilaire Germain Edgar Degas","Artist
Hilaire Germain Edgar Degas
Title
The Bathers
Origin
France
Date
1885–1895
Medium
Pastel and charcoal on tan wove paper
Inscriptions
Signed: ""Degas""
Dimensions
1,134 × 1,157 mm
Credit Line
Gift of Nathan Cummings
Reference Number
1955.495",https://www.artic.edu/artworks/83644/the-bathers
2629,"Pablo Escobar, 2010, Rachel  Harrison","Artist
Rachel Harrison
Title
Pablo Escobar
Origin
United States
Date
2010
Medium
Wood, polystyrene, cement, acrylic, and ceramic peppers
Dimensions
251.5 × 55.9 × 58.4 cm (99 × 22 × 23 in.)
Credit Line
Gift of Nancy Lauter McDougal and Alfred L. McDougal
Reference Number
2011.119",https://www.artic.edu/artworks/205456/pablo-escobar
2630,"Mosaic Disk with a Mythological and Historical Scene, 1400/1500, Mixtec","Culture
Mixtec
Title
Mosaic Disk with a Mythological and Historical Scene
Origin
Oaxaca state
Date
1401–1500
Medium
Turquoise, earthenware, stucco, spondylus shell, mother of pearl, and iron pyrite, with pigment
Dimensions
Diam. 30.5 cm (12 in.)
Credit Line
Through prior gift of Louise A. and Ruth G. Allen, and Mrs. Daniel Catton Rich
Reference Number
1997.57",https://www.artic.edu/artworks/146930/mosaic-disk-with-a-mythological-and-historical-scene
2631,"Madame Arthur Fontaine in a Pink Shawl, 1903, Édouard Jean Vuillard","Artist
Édouard Jean Vuillard
Title
Madame Arthur Fontaine in a Pink Shawl
Origin
France
Date
1904–1905
Medium
Gouache and oil on cardboard mounted on cardboard
Dimensions
19 3/4 × 17 1/4 in. (50.2 × 43.8 cm)
Credit Line
Charles H. and Mary F. S. Worcester Collection
Reference Number
1947.118
Copyright
© 2018 Artists Rights Society (ARS), New York / ADAGP, Paris",https://www.artic.edu/artworks/59976/madame-arthur-fontaine-in-a-pink-shawl
2632,"Village, c. 1912, Maurice de Vlaminck","Artist
Maurice de Vlaminck
Title
Village
Origin
France
Date
1907–1917
Medium
Oil on canvas
Inscriptions
Signed, l.r.: Vlaminck
Dimensions
29 × 36 1/4 in. (73.7 × 92.1 cm)
Credit Line
Arthur Jerome Eddy Memorial Collection
Reference Number
1931.517
Copyright
© 2018 Artists Rights Society (ARS), New York / ADAGP, Paris",https://www.artic.edu/artworks/20314/village
2633,"Cadeau (Gift), 1963 (1921 original now lost), Man Ray (Emmanuel Radnitzky)","Artist
Man Ray (Emmanuel Radnitzky)
Title
Cadeau (Gift)
Origin
United States
Date
1963
Medium
Flatiron and 14 iron tacks
Dimensions
15.8 × 9 × 9 cm
Credit Line
Through prior gift of Mrs. Gilbert W. Chapman
Reference Number
2009.129
Copyright
© 2018 Man Ray Trust / Artists Rights Society (ARS), New York / ADAGP, Paris",https://www.artic.edu/artworks/199055/cadeau-gift
2634,"Figure, 1932, Joan Miró","Artist
Joan Miró
Title
Figure
Origin
Spain
Date
1932
Medium
Oil on panel
Inscriptions
Signed, l.r.: ""Miró""
Dimensions
10 3/4 x 7 7/8 in. (27.3 x 20 cm)
Credit Line
Gift of Mary and Leigh Block
Reference Number
1988.141.13
Copyright
© 2018 Successió Miró / Artists Rights Society (ARS), New York / ADAGP, Paris",https://www.artic.edu/artworks/110973/figure
2635,"View of The Castello Bracciano, near Rome with Coach and Figures, n.d., Jacques Callot","Artist
Jacques Callot
Title
View of The Castello Bracciano, near Rome with Coach and Figures
Origin
France
Date
Artist's working dates 1612–1635
Medium
Pen and brown ink on paper
Dimensions
283 × 911 mm
Credit Line
Clarence Buckingham Collection
Reference Number
1962.365",https://www.artic.edu/artworks/14439/view-of-the-castello-bracciano-near-rome-with-coach-and-figures
2636,"Keys to the Coop, 1997, Kara Walker","Artist
Kara Walker
Title
Keys to the Coop
Origin
United States
Date
1997
Medium
Linocut on white wove paper
Dimensions
1,175 x 1,538 mm
Credit Line
Restricted gift of Dr. and Mrs. Paul Sternberg
Reference Number
1997.433",https://www.artic.edu/artworks/147634/keys-to-the-coop
2637,"The Studio, 1955, Alberto Giacometti","Artist
Alberto Giacometti
Title
The Studio
Origin
Switzerland
Date
1955
Medium
Lithograph on white wove paper
Dimensions
475 × 380 mm (image); 663 × 502 mm (sheet)
Credit Line
Gift of Eberhard Kornfeld
Reference Number
1957.315
Copyright
© 2018 Succession Giacometti / Artists Rights Society (ARS), New York / ADAGP, Paris",https://www.artic.edu/artworks/6030/the-studio
2638,"Questions, 1981/2003, Fischli & Weiss","Artist
Fischli & Weiss
Title
Questions
Date
1981–2003
Medium
1,215 slides, fifteen slide projectors, fifteen lenses, and eight dissolve units; continous loop; edition number two of three
Dimensions
Dimensions vary with installation
Credit Line
Jointly acquired by The Art Institute of Chicago through prior gift of Mr. and Mrs. Joel Starrels; Burt Kaplan Fund; through prior gift of Gould, Inc. and the Los Angeles Museum of Contemporary Art, purchased with funds provided by Acquisition and Collection Committee
Reference Number
2008.208
Copyright
© 1981/2002-2003 Peter Fischli and David Weiss.",https://www.artic.edu/artworks/193130/questions
2639,"Memorial Sheet for Karl Liebknecht, 1920, Käthe Kollwitz","Artist
Käthe Kollwitz
Title
Memorial Sheet for Karl Liebknecht
Origin
Germany
Date
1920
Medium
Woodcut with additions in brush and black ink, on cream Japanese paper
Dimensions
357 x 500 mm (image); 385 x 528 mm (block); 451 x 572 mm (sheet)
Credit Line
Mr. and Mrs. Philip B. Heller Fund
Reference Number
2002.478
Copyright
© 2018 Artists Rights Society (ARS), New York / VG Bild-Kunst, Bonn",https://www.artic.edu/artworks/158971/memorial-sheet-for-karl-liebknecht
2640,"Panels from the High Altar of the Charterhouse of Saint-Honoré, Thuison-les-Abbeville: Virgin and Child, 1490/1500, French School","Artist
French School
Title
Panels from the High Altar of the Charterhouse of Saint-Honoré, Thuison-les-Abbeville: Virgin and Child
Origin
France
Date
1490–1500
Medium
Oil on panel
Dimensions
Panel: 117.3 × 50.8 cm (46 3/16 × 20 in.); Painted Surface: 116 × 49.5 cm (45 11/16 × 19 1/2 in.)
Credit Line
The Art Institute of Chicago, Mr. and Mrs. Martin A. Ryerson Collection
Reference Number
1933.1054",https://www.artic.edu/artworks/16307/panels-from-the-high-altar-of-the-charterhouse-of-saint-honore-thuison-les-abbeville-virgin-and-child
2641,"The Prodigal Son with Harlots, n.d., Amos Doolittle","Artist
Amos Doolittle
Title
The Prodigal Son with Harlots
Origin
United States
Date
Artist's working dates 1774–1832
Medium
Hand-colored engraving on paper
Dimensions
320 x 243 mm (image); 358 x 250 mm (sheet, cut within plate mark)
Credit Line
Gift of the Print and Drawing Club
Reference Number
1925.172",https://www.artic.edu/artworks/15073/the-prodigal-son-with-harlots
2642,"Shirasuka: View of Shiomi Slope (Shirasuka, Shiomizaka no zu), from the series “Fifty-three Stations of the Tokaido (Tokaido gojusan tsugi),” also known as the Tokaido with Poem (Kyoka iri Tokaido), c. 1837/42, Utagawa Hiroshige","Artist
Utagawa Hiroshige
Title
Shirasuka: View of Shiomi Slope (Shirasuka, Shiomizaka no zu), from the series ""Fifty-three Stations of the Tokaido (Tokaido gojusan tsugi),"" also known as the Tokaido with Poem (Kyoka iri Tokaido)
Origin
Japan
Date
1832–1847
Medium
Color woodblock print; chuban
Dimensions
17 × 22.8 cm (6 11/16 × 8 15/16 in.)
Credit Line
Clarence Buckingham Collection
Reference Number
1930.63",https://www.artic.edu/artworks/4381/shirasuka-view-of-shiomi-slope-shirasuka-shiomizaka-no-zu-from-the-series-fifty-three-stations-of-the-tokaido-tokaido-gojusan-tsugi-also-known-as-the-tokaido-with-poem-kyoka-iri-tokaido
2643,"Mouth (Mund), 1963, Gerhard Richter","Artist
Gerhard Richter
Title
Mouth (Mund)
Origin
Germany
Date
1963
Medium
Oil on canvas
Dimensions
67 x 74 cm (26 1/2 x 29 1/4 in.)
Credit Line
Through prior gift of Mrs. Henry C. Woods; gift of Lannan Foundation
Reference Number
1997.173
Copyright
© Gerhard Richter",https://www.artic.edu/artworks/147000/mouth-mund
2644,"Coitus, 1931, Salvador Dalí","Artist
Salvador Dalí
Title
Coitus
Origin
Spain
Date
Made 1931
Medium
Pen and black ink, over graphite, on ivory laid paper
Dimensions
534 x 351 mm
Credit Line
Gift of Dorothy Braude Edinburg to the Harry B. and Bessie K. Braude Memorial Collection in memory of Kahlil Gibran
Reference Number
2008.231
Copyright
© Salvador Dalí, Fundació Gala-Salvador Dalí / Artists Rights Society (ARS), New York, 2018",https://www.artic.edu/artworks/185841/coitus
2645,"Animal, December 1950, Victor Brauner","Artist
Victor Brauner
Title
Animal
Origin
Romania
Date
Made 1950
Medium
Oil on canvas
Inscriptions
Signed, l.l.: ""BRAUNER""
Dimensions
38 x 46 cm (15 x 18 in.)
Credit Line
Gift of Albert Robin
Reference Number
2005.160
Copyright
© 2018 Artists Rights Society (ARS), New York / ADAGP, Paris",https://www.artic.edu/artworks/185186/animal
2646,"Configuration, 1952, Jean (Hans) Arp","Artist
Jean (Hans) Arp
Title
Configuration
Origin
France
Date
1952
Medium
Oil on wood
Dimensions
29 1/2 × 23 1/2 in.
Credit Line
Bequest of Maxine Kunstadter
Reference Number
1978.408
Copyright
© 2018 Artists Rights Society (ARS), New York / VG Bild-Kunst, Bonn",https://www.artic.edu/artworks/53013/configuration
2647,"The Actors Sanjo Kantaro (right) and Fujimura Handayu (left) as musicians playing under wisteria, c. 1717/18","Title
The Actors Sanjo Kantaro (right) and Fujimura Handayu (left) as musicians playing under wisteria
Origin
Japan
Date
1712–1723
Medium
Hand-colored woodblock print; hosoban, urushi-e
Dimensions
29.9 x 15.8 cm
Credit Line
Clarence Buckingham Collection
Reference Number
1925.1836",https://www.artic.edu/artworks/19479/the-actors-sanjo-kantaro-right-and-fujimura-handayu-left-as-musicians-playing-under-wisteria
2648,"Fragment, 200/500, Nazca","Culture
Nazca
Title
Fragment
Origin
Peru
Date
Made 200 AD–500 AD
Medium
Wool (camelid) and cotton, plain weave of discontinuous single interlocking warps and wefts
Dimensions
51.8 × 32.7 cm (20 3/8 × 12 7/8 in.)
Credit Line
Restricted gift of Mrs. Edwin A. Seipp
Reference Number
1956.76",https://www.artic.edu/artworks/2061/fragment
2649,"Dragon-Handled Amphora, Tang dynasty, (A.D. 618–907), 1st half of 8th century","Title
Dragon-Handled Amphora
Origin
China
Date
618 AD–907 AD
Medium
Earthenware with three-color (sancai) lead glazes
Dimensions
H. 38.7 cm (15.2 in.); diam. 17.5 cm (6.9 in.)
Credit Line
Lucy Maud Buckingham Collection
Reference Number
1924.286",https://www.artic.edu/artworks/12229/dragon-handled-amphora
