index,artwork_title,metadata,url
9450,"Breastplate, c. 1580/90","Title
Breastplate
Origin
Italy
Date
1570–1600
Medium
Steel and brass
Dimensions
Wt. 4 lb. 2 oz.
Credit Line
George F. Harding Collection
Reference Number
1982.2555",https://www.artic.edu/artworks/116337/breastplate
9451,"Punch Bowl, c. 1789, Chinese export porcelain","Artist
Chinese export porcelain
Title
Punch Bowl
Origin
China
Date
c. 1789
Medium
Porcelain
Dimensions
15.2 × 36 cm (6 × 14 3/16 in.)
Credit Line
Restricted gift of the Antiquarian Society
Reference Number
1950.3",https://www.artic.edu/artworks/117475/punch-bowl
9452,"Peasant Woman with a Shawl, summer 1906, Pablo Picasso","Artist
Pablo Picasso
Title
Peasant Woman with a Shawl
Origin
Spain
Date
1906
Medium
Charcoal, with stumping, on cream laid paper
Inscriptions
Signed and dated verso, lower right, in charcoal: ""Picasso / 1906""
Dimensions
630 x 424 mm
Credit Line
Through prior bequest of Mrs. Gordon Palmer
Reference Number
1986.1595
Copyright
© 2018 Estate of Pablo Picasso / Artists Rights Society (ARS), New York",https://www.artic.edu/artworks/111392/peasant-woman-with-a-shawl
9453,"Necklace, Roman Period (30 BC–AD 337), Ancient Roman","Culture
Ancient Roman
Title
Necklace
Origin
Ancient Egypt
Date
30 BC–337 AD
Medium
Glass
Dimensions
L. 36.8 cm (14 1/2 in.); diam. of largest bead: 1.3 cm (1/2 in.)
Credit Line
Gift of Theodore W. and Frances S. Robinson
Reference Number
1949.1103",https://www.artic.edu/artworks/67374/necklace
9454,"Sunday Afternoon, 1971, Enrico Baj","Artist
Enrico Baj
Title
Sunday Afternoon
Origin
Italy
Date
1971
Medium
Color screenprint with flocking on off-white wove paper
Dimensions
338 x 1003 mm (image); 483 x 1097 mm (sheet)
Credit Line
Gift of Emmanuel Jacobson
Reference Number
1978.565",https://www.artic.edu/artworks/53468/sunday-afternoon
9455,"Seiro niwaka, n.d., Kitagawa Utamaro","Artist
Kitagawa Utamaro
Title
Seiro niwaka
Origin
Japan
Date
1756–1806
Medium
Color woodblock print; aiban
Dimensions
32.6 x 22.5 cm
Credit Line
Clarence Buckingham Collection
Reference Number
1925.3015",https://www.artic.edu/artworks/23813/seiro-niwaka
9456,"Tumblers, 1942, Chaim Gross","Artist
Chaim Gross
Title
Tumblers
Origin
United States
Date
1942
Medium
Ebony
Dimensions
H.: 105.7 cm (41 5/8 in.)
Credit Line
Gift of Mr. and Mrs. H. B. Snower
Reference Number
1957.15",https://www.artic.edu/artworks/5175/tumblers
9457,"The Singer and the Lute Player, c. 1495, Israhel van Meckenem, the younger","Artist
Israhel van Meckenem, the younger
Title
The Singer and the Lute Player
Origin
Germany
Date
1490–1500
Medium
Engraving in black on tan laid paper
Dimensions
155 × 107 mm
Credit Line
Bequest of Mrs. Potter Palmer, Jr.
Reference Number
1956.851",https://www.artic.edu/artworks/3805/the-singer-and-the-lute-player
9458,"A Modern Version of Ushiwakamaru Serenading Princess Joruri, c. 1785, Torii Kiyonaga","Artist
Torii Kiyonaga
Title
A Modern Version of Ushiwakamaru Serenading Princess Joruri
Origin
Japan
Date
1780–1790
Medium
Color woodblock prints; oban triptych
Dimensions
37.9 x 24.5 cm (right sheet), 37.9 x 24.7 cm (center sheet), 37.9 x 25.0 cm (left sheet)
Credit Line
Clarence Buckingham Collection
Reference Number
1925.2308",https://www.artic.edu/artworks/21642/a-modern-version-of-ushiwakamaru-serenading-princess-joruri
9459,"Blue Bird, 1950/1976, Trude Guermonprez","Artist
Trude Guermonprez
Title
Blue Bird
Origin
California
Date
Made 1950–1976
Medium
Cotton, wool, and silk, plain weave with supplementary warp; painted
Dimensions
45 × 60.6 cm (17 3/4 × 23 7/8 in.)
Credit Line
Restricted gift of Mrs. William G. Swartchild, Jr.
Reference Number
1995.178",https://www.artic.edu/artworks/139910/blue-bird
9460,"Le Ratapoil, modeled 1851 (cast c. 1925), Honoré-Victorin Daumier","Artist
Honoré-Victorin Daumier
Title
Le Ratapoil
Origin
France
Date
Modeled 1846–1856
Medium
Bronze
Dimensions
H. 44.4 cm (17 1/2 in.)
Credit Line
Gift of Samuel and Marie Louise Rosenthal - Rosenthal-Daumier Collection
Reference Number
1998.777",https://www.artic.edu/artworks/133714/le-ratapoil
