index,artwork_title,metadata,url
2650,"Little Sneerer, March 1944, Jean Dubuffet","Artist
Jean Dubuffet
Title
Little Sneerer
Origin
France
Date
1944
Medium
Oil on canvas
Dimensions
21 1/2 × 18 in. (54.6 × 45.7 cm)
Credit Line
Lindy and Edwin Bergman Collection
Reference Number
2018.288
Copyright
© 2018 Artists Rights Society (ARS), New York / ADAGP, Paris",https://www.artic.edu/artworks/118675/little-sneerer
2651,"Bead Net Mummy Shroud, Saite Period, Dynasty 26 (664–525 BC), Ancient Egyptian","Culture
Ancient Egyptian
Title
Bead Net Mummy Shroud
Origin
Egypt
Date
664 BC–525 BC
Medium
Faience beads
Dimensions
45.7 × 40 × 3.8 cm (18 × 15 3/4 × 1 1/2 in.)
Credit Line
Gift of Henry H. Getty and Charles L. Hutchinson
Reference Number
1894.967",https://www.artic.edu/artworks/128013/bead-net-mummy-shroud
2652,"Christ Carrying the Cross, 1500/15, Hans Maler zu Schwaz","Artist
Hans Maler zu Schwaz
Title
Christ Carrying the Cross
Origin
Germany
Date
1510–1520
Medium
Oil on panel
Dimensions
13 5/16 x 22 5/8 in. (33.8 x 57.5 cm) Painted surface: 12 13/16 x 22 in. (32.5 x 55.8 cm)
Credit Line
Charles H. and Mary F. S. Worcester Collection
Reference Number
1947.87",https://www.artic.edu/artworks/59912/christ-carrying-the-cross
2653,"The Annunciation, Completed by 1457, Johann Koerbecke","Artist
Johann Koerbecke
Title
The Annunciation
Origin
Germany
Date
1420–1457
Medium
Oil on panel, transferred to canvas
Inscriptions
Inscribed: [a]ve gratia plena dominus tecum (on Gabriel’s scroll)
Dimensions
Panel: 93.3 × 65.8 cm (36 3/4 × 25 7/8 in.); Painted Surface: 36 3/16 × 25 1/4 in.
Credit Line
Mr. and Mrs. Martin A. Ryerson Collection
Reference Number
1933.1064",https://www.artic.edu/artworks/16333/the-annunciation
2654,"The Adoration of the Christ Child, c. 1490, Vincenzo Frediani","Artist
Vincenzo Frediani
Title
The Adoration of the Christ Child
Origin
Florence
Date
1485–1495
Medium
Tempera on panel
Dimensions
52 × 47.2 cm (20 1/2 × 18 9/16 in.) Painted surface: 19 7/8 × 18 in. (50.5 × 45.7 cm)
Credit Line
Max and Leola Epstein Collection
Reference Number
1954.289",https://www.artic.edu/artworks/80537/the-adoration-of-the-christ-child
2655,"The Mysteriously Abandoned New Home, 1958, H. C. Westermann","Artist
H. C. Westermann
Title
The Mysteriously Abandoned New Home
Origin
United States
Date
1958
Medium
Pine, birch, vermillion, redwood, glass, paint, and wheels
Dimensions
212.3 x 57.4 x 55.2 cm (83 5/8 x 22 5/8 x 21 3/4 in.)
Credit Line
Gift of Lewis Manilow
Reference Number
1962.905
Copyright
© Estate of H.C. Westermann / Licensed by VAGA at ARS, New York",https://www.artic.edu/artworks/15566/the-mysteriously-abandoned-new-home
2656,"Workmen at Carrara, 1911, John Singer Sargent","Artist
John Singer Sargent
Title
Workmen at Carrara
Origin
United States
Date
1911
Medium
Watercolor with touches of opaque watercolor and scraping over graphite on ivory wove paper
Dimensions
404 x 534 mm
Credit Line
Olivia Shaler Swan Memorial Collection
Reference Number
1933.507",https://www.artic.edu/artworks/14796/workmen-at-carrara
2657,"The Loma - Taos, 1919, Gustave Baumann","Artist
Gustave Baumann
Title
The Loma - Taos
Origin
United States
Date
Made 1919
Medium
Color woodcut on cream laid paper
Dimensions
242 x 288 mm (image/block); 317 x 400 mm (sheet)
Credit Line
The William Gold Hibbard Memorial
Reference Number
1923.467",https://www.artic.edu/artworks/8753/the-loma-taos
2658,"Monte Pincio, Rome, 1840/50, Jean Baptiste Camille Corot","Artist
Jean Baptiste Camille Corot
Title
Monte Pincio, Rome
Origin
France
Date
1840–1850
Medium
Oil on canvas
Inscriptions
Inscribed lower right: Corot
Dimensions
10 5/8 × 16 in. (27 × 40.6 cm)
Credit Line
Mr. and Mrs. Lewis Larned Coburn Memorial Collection
Reference Number
1942.466",https://www.artic.edu/artworks/45267/monte-pincio-rome
2659,"Bracelet, 1st/3rd century AD, Ancient Roman","Culture
Ancient Roman
Title
Bracelet
Origin
Roman Empire
Date
1 AD–300 AD
Medium
Gold
Dimensions
H. 1.3 cm (1/2 in.); diam. 6.7cm (2 5/8 in.)
Credit Line
Henry G. Willing Fund
Reference Number
1923.424",https://www.artic.edu/artworks/8630/bracelet
2660,"Commerce Counselor Ebenstein, 1908, Oskar Kokoschka","Artist
Oskar Kokoschka
Title
Commerce Counselor Ebenstein
Origin
England
Date
1908
Medium
Oil on canvas
Inscriptions
Signed, l.r.: ""O K""
Dimensions
40 1/16 × 31 15/16 in. (101.8 × 81.1 cm)
Credit Line
Joseph Winterbotham Collection
Reference Number
1956.364
Copyright
© 2018 Fondation Oskar Kokoschka / Artists Rights Society (ARS), New York / ProLitteris, Zurich",https://www.artic.edu/artworks/2893/commerce-counselor-ebenstein
2661,"Thenot Remonstrates with Colinet, Lightfoot in Background, from The Pastorals of Virgil, 1821, William Blake","Artist
William Blake
Title
Thenot Remonstrates with Colinet, Lightfoot in Background, from The Pastorals of Virgil
Origin
England
Date
1821
Medium
Wood engraving on off-white wove paper
Dimensions
33 × 73 mm (image/block); 39 × 78 mm (sheet)
Credit Line
William McCallin McKee Memorial Endowment
Reference Number
1934.60",https://www.artic.edu/artworks/18282/thenot-remonstrates-with-colinet-lightfoot-in-background-from-the-pastorals-of-virgil
2662,"Rehearsal of the Pasdeloup Orchestra at the Cirque d’Hiver, c. 1879, John Singer Sargent","Artist
John Singer Sargent
Title
Rehearsal of the Pasdeloup Orchestra at the Cirque d'Hiver
Origin
Paris
Date
c. 1879
Medium
Oil on canvas
Inscriptions
Signed, lower left: ""To G Henschel / John S. Sargent""
Dimensions
93 × 73 cm (36 5/8 × 28 3/4 in.)
Credit Line
Anonymous loan
Reference Number
81.1972",https://www.artic.edu/artworks/121628/rehearsal-of-the-pasdeloup-orchestra-at-the-cirque-d-hiver
2663,"Seated Female Nude, Arms Outstretched, n.d., Charles Despiau","Artist
Charles Despiau
Title
Seated Female Nude, Arms Outstretched
Origin
France
Date
1894–1946
Medium
Red Conté crayon, with stumping on ivory wove paper
Inscriptions
Signed recto, lower left, in red Conté crayon: ""C. Despiau""
Dimensions
231 × 360 mm
Credit Line
Gift of Henry G. Sundheim, Jr.
Reference Number
1958.544
Copyright
© 2018 Artists Rights Society (ARS), New York / ADAGP, Paris",https://www.artic.edu/artworks/8691/seated-female-nude-arms-outstretched
2664,"Rock Oaks, 1861, Théodore Rousseau","Artist
Théodore Rousseau
Title
Rock Oaks
Origin
France
Date
1861
Medium
Etching on cream laid paper
Dimensions
125 × 167 mm (image); 133 × 207 mm (plate); 210 × 300 mm (sheet)
Credit Line
William McCallin McKee Memorial Endowment
Reference Number
1930.138",https://www.artic.edu/artworks/4613/rock-oaks
2665,"Pilgrims, n.d., Bolton Brown","Artist
Bolton Brown
Title
Pilgrims
Origin
United States
Date
1884–1930
Medium
Lithograph on paper
Dimensions
240 × 340 mm (image); 280 × 382 mm (sheet)
Credit Line
Gift of Walter Brewster and Arthur Aldis
Reference Number
1930.297",https://www.artic.edu/artworks/5152/pilgrims
2666,"Panels from the High Altar of the Charterhouse of Saint-Honoré, Thuison-les-Abbeville: The Last Supper, 1490/1500, French School","Artist
French School
Title
Panels from the High Altar of the Charterhouse of Saint-Honoré, Thuison-les-Abbeville: The Last Supper
Origin
France
Date
1475–1485
Medium
Oil on panel
Inscriptions
Inscribed: XOQEAESOFPV. / OI. (on hem of robe of disciple in front center), OT:ETAES (on hem of robe of disciple at far right)
Dimensions
Panel: 117.2 × 50.9 cm (46 1/8 × 20 in.); Painted Surface: 115.6 × 49.7 cm (45 1/2 × 19 9/16 in.)
Credit Line
The Art Institute of Chicago, Mr. and Mrs. Martin A. Ryerson Collection
Reference Number
1933.1056",https://www.artic.edu/artworks/16312/panels-from-the-high-altar-of-the-charterhouse-of-saint-honore-thuison-les-abbeville-the-last-supper
2667,"Untitled, c. 1944, Mark Rothko","Artist
Mark Rothko
Title
Untitled
Origin
United States
Date
1923–1970
Medium
Watercolor with tempera and graphite on white wove paper
Dimensions
518 x 698 mm
Credit Line
Gift of the Mark Rothko Foundation
Reference Number
1986.119
Copyright
© 2005 Kate Rothko Prizel & Christopher Rothko / Artists Rights Society (ARS), New York",https://www.artic.edu/artworks/105234/untitled
2668,"Crouching Tahitian Woman (related to the painting Nafea faa ipoipo [When Will You Marry?]), 1891/93, Paul Gauguin","Artist
Paul Gauguin
Title
Crouching Tahitian Woman (related to the painting Nafea faa ipoipo [When Will You Marry?])
Origin
France
Date
1891–1893
Medium
Pastel over charcoal, selectively stumped, on cream wove paper (discolored to tan), squared in black chalk on cream wove paper (discolored to tan)
Dimensions
555 × 480 mm
Credit Line
Margaret Day Blake Collection
Reference Number
1944.578R",https://www.artic.edu/artworks/51374/crouching-tahitian-woman-related-to-the-painting-nafea-faa-ipoipo-when-will-you-marry
2669,"Lounge Chair and Ottoman, 1956, Charles Eames","Artist
Charles Eames
Title
Lounge Chair and Ottoman
Origin
Zeeland
Date
1956
Medium
Rosewood, leather and aluminum
Dimensions
Chair: 83.8 × 85.7 × 81.3 cm (33 × 33 3/4 × 32 in.) Ottoman: 62.9 × 45.1 × 54 cm (24 3/4 × 17 × 21 1/4 in.)
Credit Line
Gift of Mrs. Victor Figueroa
Reference Number
2000.128.1-2",https://www.artic.edu/artworks/154489/lounge-chair-and-ottoman
2670,"Toilette (Before the Mirror), 1923, published 1924, Max Beckmann","Artist
Max Beckmann
Title
Toilette (Before the Mirror)
Origin
Germany
Date
1923
Medium
Drypoint on ivory laid paper
Dimensions
276 × 218 mm (plate); 443 × 323 mm (sheet)
Credit Line
Gift of Joseph R. Shapiro
Reference Number
1956.582
Copyright
© 2018 Artists Rights Society (ARS), New York / VG Bild-Kunst, Bonn",https://www.artic.edu/artworks/3047/toilette-before-the-mirror
2671,"Wind-Swept Sands, 1894, William Merritt Chase","Artist
William Merritt Chase
Title
Wind-Swept Sands
Origin
United States
Date
1894
Medium
Oil on canvas
Inscriptions
Signed lower left: ""Wm M. Chase.""
Dimensions
87 × 101.5 cm (34 1/4 × 39 3/4 in.)
Credit Line
Restricted gift of Mrs. Eric Oldberg in honor of Milo M. Naeve; Friends of American Art and R. H. Love Galleries funds; Walter Aitken Endowment; through prior acquisitions of the Charles H. and Mary F. S. Worcester Collection
Reference Number
1991.249",https://www.artic.edu/artworks/120296/wind-swept-sands
2672,"Cubi VII, 1963, David Smith","Artist
David Smith
Title
Cubi VII
Origin
United States
Date
1963
Medium
Stainless steel
Dimensions
281.9 × 175.3 × 58.4 cm (111 × 69 × 23 in.)
Credit Line
Grant J. Pick Purchase Fund
Reference Number
1964.1141
Copyright
© 2019 The Estate of David Smith / Licensed by VAGA at Artists Rights Society (ARS), NY.",https://www.artic.edu/artworks/22395/cubi-vii
2673,"Les-Parents-Terribles series: Well, now, Achilles…, 1852, Paul Gavarni","Artist
Paul Gavarni
Title
Les-Parents-Terribles series: Well, now, Achilles...
Origin
France
Date
Made 1852
Medium
Lithograph in black on cream wove paper
Dimensions
192 × 162 mm (image); 357 × 268 mm (sheet)
Credit Line
Gift of the Print and Drawing Club
Reference Number
1923.1690",https://www.artic.edu/artworks/10935/les-parents-terribles-series-well-now-achilles
