index,artwork_title,metadata,url
5900,"Two Women, 1947, Paul Delvaux","Artist
Paul Delvaux
Title
Two Women
Origin
Belgium
Date
Made 1947
Medium
Pen and black ink with watercolor, over graphite, on white wove paper
Dimensions
570 × 745 mm
Credit Line
Gift of Joseph R. Shapiro
Reference Number
1966.22
Copyright
© 2018 Artists Rights Society (ARS), New York / SABAM, Brussels",https://www.artic.edu/artworks/24899/two-women
5901,"Door, c. 1750, Giovanni Domenico Tiepolo","Artist
Giovanni Domenico Tiepolo
Title
Door
Origin
Italy
Date
1745–1755
Medium
Wood, gessoed and lacquered with polychrome decoration and gilding
Dimensions
279.4 × 139.7 cm (110 × 55 in.)
Credit Line
Bessie Bennett Endowment
Reference Number
1953.461",https://www.artic.edu/artworks/79763/door
5902,"La Salute: Dawn, 1879/80, James McNeill Whistler","Artist
James McNeill Whistler
Title
La Salute: Dawn
Origin
United States
Date
Made 1879–1880
Medium
Etching and drypoint with foul biting, with drypoint cancellation, in black ink on ivory laid paper
Dimensions
125 x 201 mm (plate); 140 x 213 mm (sheet)
Credit Line
Gift of Walter S. Brewster
Reference Number
1933.701a",https://www.artic.edu/artworks/15170/la-salute-dawn
5903,"Panel (Dress Fabric), 17th century, Safavid Dynasty (1501–1722)","Title
Panel (Dress Fabric)
Origin
Iran
Date
1601–1700
Medium
Silk, 2:1 twill weave, with complementary weft plain weave double cloth
Dimensions
66.4 × 32.4 cm (26 1/8 × 12 3/4 in.)
Credit Line
Gift of Logan-Patten-Ryerson Collection
Reference Number
1930.888",https://www.artic.edu/artworks/6430/panel-dress-fabric
5904,"Green Earthquake, 1963, John Hultberg","Artist
John Hultberg
Title
Green Earthquake
Origin
United States
Date
1963
Medium
Color lithograph on ivory wove paper
Dimensions
510 x 764 mm (image/sheet)
Credit Line
Gift of Burt Kleiner
Reference Number
1963.1091",https://www.artic.edu/artworks/19043/green-earthquake
5905,"Cameo of Venus and Cupid, Probably a Hat Badge Mounted as a Pendant, 1575-1600","Title
Cameo of Venus and Cupid, Probably a Hat Badge Mounted as a Pendant
Origin
Northern Italy
Date
1575–1600
Medium
Gold, chalcedony, enamel, pearls, and glass
Dimensions
10.8 × 4.9 cm (4 1/4 × 1 15/16 in.)
Credit Line
Gift of Marilynn B. Alsdorf
Reference Number
1992.536",https://www.artic.edu/artworks/119874/cameo-of-venus-and-cupid-probably-a-hat-badge-mounted-as-a-pendant
5906,"Vessel Depicting a Sacrificial Ceremony for a Royal Accession, A.D. 650/800, Maya","Culture
Maya
Title
Vessel Depicting a Sacrificial Ceremony for a Royal Accession
Origin
Mexico
Date
650 AD–800 AD
Medium
Ceramic and pigment
Dimensions
H. 19.7 cm (7 3/4 in.)
Credit Line
Ada Turnbull Hertle Fund
Reference Number
1969.239",https://www.artic.edu/artworks/31577/vessel-depicting-a-sacrificial-ceremony-for-a-royal-accession
5907,"Campden Hill, London, 1949, Bill Brandt","Artist
Bill Brandt
Title
Campden Hill, London
Origin
England
Date
Made 1949
Medium
Gelatin silver print
Inscriptions
Unmarked recto; stamped verso, upper center, in black ink: ""BILL BRANDT""; inscribed verso, lower left, in graphite: ""C29""; verso, lower right, in graphite: ""2794""
Dimensions
22.9 × 19.9 cm (image); 25.2 × 20.4 cm (paper)
Credit Line
Gift of Steven E. and Phyllis Gross
Reference Number
2004.805",https://www.artic.edu/artworks/182826/campden-hill-london
5908,"Wallpaper Panel, Early 19th century","Title
Wallpaper Panel
Origin
France
Date
1800–1825
Medium
Paper and polychrome paints
Dimensions
170.2 × 94.6 cm (67 × 37 1/4 in.)
Credit Line
Gift of David Adler, Jr.
Reference Number
1923.372",https://www.artic.edu/artworks/8496/wallpaper-panel
5909,"Stirrup Spout Vessel Depicting Man Holding Decorated Textile, 100 B.C./A.D. 500, Moche","Culture
Moche
Title
Stirrup Spout Vessel Depicting Man Holding Decorated Textile
Origin
Peruvian North Coast
Date
100 BC–500 AD
Medium
Ceramic and pigment
Dimensions
21.6 × 17.2 cm (8 1/2 × 6 3/4 in.)
Credit Line
Gift of Nathan Cummings
Reference Number
1957.417",https://www.artic.edu/artworks/6360/stirrup-spout-vessel-depicting-man-holding-decorated-textile
