index,artwork_title,metadata,url
3200,"Fruit Piece, 1860, Hannah Brown Skeele","Artist
Hannah Brown Skeele
Title
Fruit Piece
Origin
United States
Date
1860
Medium
Oil on canvas
Dimensions
50.8 × 60.6 cm (20 × 23 7/8 in.)
Credit Line
Restricted gifts of Charles C. Haffner, III, Mrs. Harold T. Martin, Mrs. Herbert A Vance and Jill Burnside Zeno; through prior acquisition of the George F. Harding Collection
Reference Number
2001.6",https://www.artic.edu/artworks/156596/fruit-piece
3201,"Loutrophoros (Container for Bath Water), 350/340 BC, Ancient Greek","Culture
Ancient Greek
Title
Loutrophoros (Container for Bath Water)
Origin
Puglia
Date
350 BC–340 BC
Medium
Terracotta, decorated in the red-figure technique
Dimensions
88 × 37.5 × 26 cm (34 3/4 × 14 3/4 × 10 1/4 in.)
Credit Line
Katherine K. Adler Memorial Fund
Reference Number
1984.9",https://www.artic.edu/artworks/102080/loutrophoros-container-for-bath-water
3202,"Mosaic-Like, 1932, Paul Klee","Artist
Paul Klee
Title
Mosaic-Like
Origin
Germany
Date
1927–1937
Medium
Gouache on tan wove paper
Dimensions
594 x 399 mm
Credit Line
Bequest of Elizabeth H. Paepcke
Reference Number
1994.765
Copyright
© 2018 Artists Rights Society (ARS), New York / VG Bild-Kunst, Bonn",https://www.artic.edu/artworks/135517/mosaic-like
3203,"Pineda Island Recreation Center, Mobile, Alabama, Perspective, c. 1960, Bertrand Goldberg","Artist
Bertrand Goldberg (Architect)
Title
Pineda Island Recreation Center, Mobile, Alabama, Perspective
Origin
Mobile
Date
1955–1965
Medium
Marker on tracing paper
Dimensions
61 × 87 cm (24 1/16 x 34 1/4 in.)
Credit Line
The Archive of Bertrand Goldberg, gifted by his children through his estate
Reference Number
RX23664/99.110",https://www.artic.edu/artworks/190299/pineda-island-recreation-center-mobile-alabama-perspective
3204,"Bathers and a Woman Carrying a Basket, n.d., Miguel Covarrubias","Artist
Miguel Covarrubias
Title
Bathers and a Woman Carrying a Basket
Origin
México
Date
1924–1956
Medium
Lithograph on paper
Dimensions
312 × 231 mm (image); 408 × 304 mm (sheet)
Credit Line
Gift of Joseph R. Shapiro
Reference Number
1956.600",https://www.artic.edu/artworks/3089/bathers-and-a-woman-carrying-a-basket
3205,"Carnival in Munich, 1904, Vasily Kandinsky","Artist
Vasily Kandinsky
Title
Carnival in Munich
Origin
Germany
Date
1904
Medium
Tempera on board
Dimensions
378 x 549 mm
Credit Line
Gift of the Estate of Grant J. Pick
Reference Number
1963.403
Copyright
© 2018 Artists Rights Society (ARS), New York / ADAGP, Paris",https://www.artic.edu/artworks/17538/carnival-in-munich
3206,"Fragment from Christ Carrying the Cross: Saint John the Evangelist, 1500/05, Jean Hey, (the Master of Moulins)","Artist
Jean Hey, (the Master of Moulins)
Title
Fragment from Christ Carrying the Cross: Saint John the Evangelist
Origin
Provence
Date
1500–1505
Medium
Oil on panel
Dimensions
10 3/4 × 7 7/8 in. (27.3 × 20 cm); image: 10 1/4 × 7 7/16 in. (26 × 18.8 cm)
Credit Line
The Art Institute of Chicago, Mr. and Mrs. Martin A. Ryerson Collection
Reference Number
1937.1000",https://www.artic.edu/artworks/25749/fragment-from-christ-carrying-the-cross-saint-john-the-evangelist
3207,"Figure in a Striped Blouse, April 3, 1949, Pablo Picasso","Artist
Pablo Picasso
Title
Figure in a Striped Blouse
Origin
Spain
Date
Made 1949
Medium
Color lithograph on ivory wove paper
Dimensions
655 x 501 mm
Credit Line
Gift of Mr. Morton Neumann
Reference Number
1951.368
Copyright
© 2018 Estate of Pablo Picasso / Artists Rights Society (ARS), New York",https://www.artic.edu/artworks/76068/figure-in-a-striped-blouse
3208,"Palace Ball, 1929, Jules Pascin","Artist
Jules Pascin
Title
Palace Ball
Origin
United States
Date
1929
Medium
Soft ground color etching and aquatint on ivory wove paper
Dimensions
350 × 255 mm (image); 510 × 255 mm (sheet)
Credit Line
Gift of Joseph R. Shapiro
Reference Number
1956.688",https://www.artic.edu/artworks/3339/palace-ball
3209,"Small Worlds V, plate five from Kleine Welten, 1922, Vasily Kandinsky","Artist
Vasily Kandinsky
Title
Small Worlds V, plate five from Kleine Welten
Origin
Germany
Date
1922
Medium
Lithograph in yellow, red, blue-green and black on Japanese paper
Dimensions
275 × 225 mm (image); 357 × 277 mm (sheet)
Credit Line
Gift of Joseph R. Shapiro
Reference Number
1956.633
Copyright
© 2018 Artists Rights Society (ARS), New York / ADAGP, Paris",https://www.artic.edu/artworks/3192/small-worlds-v-plate-five-from-kleine-welten
