index,artwork_title,metadata,url
1000,"Capture of the Tripoli by the Enterprise, 1806/12, Thomas Birch","Artist
Thomas Birch
Title
Capture of the Tripoli by the Enterprise
Origin
Philadelphia
Date
c. 1806–1812
Medium
Oil on canvas
Inscriptions
On back: ""Capture of the Corsair Tripoli by the / Enterprise under Sterrett and Porter / Off Malta August 1803 / T. Birch, Pinxit.""
Dimensions
45.1 × 65.1 cm (17 3/4 × 25 5/8 in.)
Credit Line
Through prior acquisition of the Charles H. and Mary F. S. Worcester Collection
Reference Number
1991.30",https://www.artic.edu/artworks/120163/capture-of-the-tripoli-by-the-enterprise
1001,"Madawaska—Acadian Light-Heavy, 1940, Marsden Hartley","Artist
Marsden Hartley
Title
Madawaska—Acadian Light-Heavy
Origin
United States
Date
1940
Medium
Oil on hardboard
Inscriptions
Signed, inscribed, and dated verso: Madawaska--Acadian / Light-Heavy / Marsden Hartley / 1940.
Dimensions
101.6 × 76.2 cm (40 × 30 in.)
Credit Line
Bequest of A. James Speyer
Reference Number
1987.249",https://www.artic.edu/artworks/70028/madawaska-acadian-light-heavy
1002,"Statuette of a Female Figure, Early Bronze Age, 2600/2400 BC, Ancient Greek","Culture
Ancient Greek
Title
Statuette of a Female Figure
Origin
Kéa
Date
2600 BC–2400 BC
Medium
Marble
Dimensions
39.9 × 11.6 × 4.9 cm (15 11/16 × 4 9/16 × 1 15/16 in.)
Credit Line
Katherine K. Adler Memorial Fund
Reference Number
1978.115",https://www.artic.edu/artworks/52201/statuette-of-a-female-figure
1003,"Adam and Eve, 1638, Rembrandt van Rijn","Artist
Rembrandt van Rijn
Title
Adam and Eve
Origin
Holland
Date
1638
Medium
Etching on ivory laid paper
Inscriptions
Recto, in plate, lower center: ""Rembrandt f. 1638""
Dimensions
162 x 116 mm
Credit Line
Gift of Marjorie Blum Kovler Foundation Collection and the Harry and Maribel G. Blum Foundation Collection
Reference Number
1987.247",https://www.artic.edu/artworks/70019/adam-and-eve
1004,"The Shoe Shop, c. 1911, Elizabeth Sparhawk-Jones","Artist
Elizabeth Sparhawk-Jones
Title
The Shoe Shop
Origin
United States
Date
c. 1911
Medium
Oil on canvas
Inscriptions
Signed: l.r. Elizabeth Sparhawk-Jones
Dimensions
99.1 × 79.4 cm (39 × 33 1/4 in.)
Credit Line
The William Owen Goodman and Erna Sawyer Goodman Collection
Reference Number
1939.393",https://www.artic.edu/artworks/30732/the-shoe-shop
1005,"Coney Island Beach, 1934, Reginald Marsh","Artist
Reginald Marsh
Title
Coney Island Beach
Origin
United States
Date
1934
Medium
Etching on ivory wove paper
Dimensions
248 x 250 mm (image); 330 x 406 mm (sheet)
Credit Line
The Joseph Brooks Fair Collection
Reference Number
1958.215
Copyright
© 2018 Estate of Reginald Marsh / Art Students League, New York / Artists Rights Society (ARS), New York",https://www.artic.edu/artworks/7761/coney-island-beach
1006,"E-16: French Hall of the Louis XII Period, c. 1500, c. 1937, Mrs. James Ward Thorne","Artist
Mrs. James Ward Thorne (Designer)
Title
E-16: French Hall of the Louis XII Period, c. 1500
Origin
United States
Date
Made 1932–1937
Medium
Miniature room, mixed media
Dimensions
Interior: 22 × 25 × 39 3/4 in. Scale: 1 inch = 1 foot
Credit Line
Gift of Mrs. James Ward Thorne
Reference Number
1941.1201",https://www.artic.edu/artworks/43736/e-16-french-hall-of-the-louis-xii-period-c-1500
1007,"Coat of Arms of Haarlem, end page to Counts and Countesses of Holland, Zeeland and West-Frisia, 1650, Cornelis Visscher","Artist
Cornelis Visscher
Title
Coat of Arms of Haarlem, end page to Counts and Countesses of Holland, Zeeland and West-Frisia
Origin
Holland
Date
1650
Medium
Etching and engraving on ivory laid paper
Credit Line
Gift of Horace S. Oakley
Reference Number
1923.1622",https://www.artic.edu/artworks/10793/coat-of-arms-of-haarlem-end-page-to-counts-and-countesses-of-holland-zeeland-and-west-frisia
1008,"Penitent Saint Peter, 1628/32, Jusepe de Ribera","Artist
Jusepe de Ribera
Title
Penitent Saint Peter
Origin
Spain
Date
1628–1632
Medium
Oil on canvas
Inscriptions
""Jusepe de Rib/espanol F""
Dimensions
49 3/4 × 38 1/4 in. (126.5 × 97 cm)
Credit Line
Mrs. Goldabelle Macomb Finn Fund, with additional support from friends of the European Painting Department, Mrs. James W. Alsdorf, Mrs. Edward McCormick Blair, Mr. and Mrs. Gerald Gidwitz, Josephine and John J. Louis, Jr., the Otto L. and Hazel T. Rhoades Fund and Mrs. George B. Young; L.L. A.S. Coburn Endowment
Reference Number
1993.60",https://www.artic.edu/artworks/120172/penitent-saint-peter
1009,"Cylinder Desk and Bookcase, 1800/10, Artist unknown","Artist
Artist unknown
Title
Cylinder Desk and Bookcase
Origin
Boston
Date
c. 1800–1810
Medium
Mahogany and white pine, with mahogany, birch, and maple veneers
Inscriptions
Inscriptions: lower case, on underside of proper left short drawer bottom in script: ""R""; on underside of proper right short drawer bottom in script--both in pencil:""L""; on interior of drawer bottom on long drawer in chalk:""FOR BOOKS""
Dimensions
196.8 × 91.2 × 55.9 cm (78 1/2 × 35 7/8 × 22 in.)
Credit Line
Jessie Spalding Landon Fund
Reference Number
1957.453",https://www.artic.edu/artworks/6471/cylinder-desk-and-bookcase
