index,artwork_title,metadata,url
5600,"Autumnal Still Life, 1917, Giorgio de Chirico","Artist
Giorgio de Chirico
Title
Autumnal Still Life
Origin
Italy
Date
1917
Medium
Graphite on cream wove paper
Inscriptions
Signed recto, bottom edge, right of center, in graphite: ""G. de Chirico/917""
Dimensions
302 x 221 mm
Credit Line
William McCallin McKee Memorial Endowment
Reference Number
1944.585
Copyright
© 2018 Artists Rights Society (ARS), New York / SIAE, Rome",https://www.artic.edu/artworks/51398/autumnal-still-life
5601,"Virgin and Child, 1515/25, Adriaen Isenbrant","Artist
Adriaen Isenbrant
Title
Virgin and Child
Origin
Belgium
Date
1485–1551
Medium
Oil on panel
Dimensions
40.4 × 31.6 cm (15 7/8 × 12 7/16 in.); painted surface: 38.7 × 30.5 cm (15 1/4 × 12 in.)
Credit Line
Mr. and Mrs. Martin A. Ryerson Collection
Reference Number
1933.1053",https://www.artic.edu/artworks/16305/virgin-and-child
5602,"Madonna, 1700/10, Unknown Italian","Artist
Unknown Italian
Title
Madonna
Origin
Venice
Date
1700–1710
Medium
Marble
Dimensions
84 x 41 in. (213.4 x 104.1 cm)
Credit Line
Wirt D. Walker Endowment
Reference Number
1962.487",https://www.artic.edu/artworks/14768/madonna
5603,"Cuirassier on Foot Restraining His Rearing Horse, 1817–36, Carle Vernet","Artist
Carle Vernet
Title
Cuirassier on Foot Restraining His Rearing Horse
Origin
France
Date
1817–1836
Medium
Lithograph in black on cream wove paper
Dimensions
210 × 302 mm (image); 282 × 315 mm (sheet)
Credit Line
Gift of the Print and Drawing Club
Reference Number
1958.535",https://www.artic.edu/artworks/8662/cuirassier-on-foot-restraining-his-rearing-horse
5604,"Clock, 1928/29, Paul Theodore Frankl","Artist
Paul Theodore Frankl
Title
Clock
Origin
Massachusetts
Date
c. 1928–1929
Medium
Bakelite, brush-burnished silver, chrome, and enamel
Dimensions
19.4 × 12.9 × 9.5 cm (7 5/8 × 5 1/16 × 3 3/4 in.)
Credit Line
Gift of Susan and Jerome Kahn through the Antiquarian Society
Reference Number
2000.129",https://www.artic.edu/artworks/154490/clock
5605,"Urizen, 1794, William Blake","Artist
William Blake
Title
Urizen
Origin
England
Date
1794
Medium
Monotype, with pen and brown and gray inks and watercolor, on cream wove paper
Dimensions
170 × 127 mm
Credit Line
Gift of Dorothy Braude Edinburg to the Harry B. and Bessie K. Braude Memorial Collection
Reference Number
2012.74",https://www.artic.edu/artworks/151451/urizen
5606,"Granary (Cang), Eastern Han dynasty (A.D. 25–220)","Title
Granary (Cang)
Origin
China
Date
25 AD–220 AD
Medium
Brick-red earthenware with green lead glaze, carved and molded decoration
Dimensions
39.5 × 24.0 × 21.5 cm (15 9/16 × 9 7/16 × 8 7/16 in.)
Credit Line
Lucy Maud Buckingham Collection
Reference Number
1924.238",https://www.artic.edu/artworks/12065/granary-cang
5607,"Figure of a Woman in Ceremonial Dress, A.D. 700/900, Veracruz, Classic","Culture
Veracruz, Classic
Title
Figure of a Woman in Ceremonial Dress
Origin
Southern Veracruz
Date
700 AD–900 AD
Medium
Ceramic
Dimensions
H. 35.6 cm (14 in.)
Credit Line
Harold L. Stuart Fund
Reference Number
1989.5",https://www.artic.edu/artworks/110317/figure-of-a-woman-in-ceremonial-dress
5608,"Ovoid Jar with Vertical Ribs and Two-Loop Handles, Northern Song (960–1127) or Jin dynasty (1115–1234), 12th/13th century","Title
Ovoid Jar with Vertical Ribs and Two-Loop Handles
Origin
China
Date
1100–1234
Medium
Northern black ware; Cizhou type; glazed stoneware with trailed white slip
Dimensions
H. 21.3 cm (8 3/8 in.); diam. 20.5 cm (8 1/16 in.)
Credit Line
Bequest of Russell Tyson
Reference Number
1964.790",https://www.artic.edu/artworks/21531/ovoid-jar-with-vertical-ribs-and-two-loop-handles
5609,"Capriccio: The Lagoon, after 1770, Francesco Guardi","Artist
Francesco Guardi
Title
Capriccio: The Lagoon
Origin
Italy
Date
1771–1793
Medium
Oil on canvas
Dimensions
8 3/8 x 6 3/4 in. (21.3 x 17.2 cm)
Credit Line
Gift of Mrs. Joseph Regenstein
Reference Number
1964.242",https://www.artic.edu/artworks/20597/capriccio-the-lagoon
