index,artwork_title,metadata,url
2750,"Self-Portrait, 1942, Gertrude Abercrombie","Artist
Gertrude Abercrombie
Title
Self-Portrait
Origin
United States
Date
1942
Medium
Oil on Masonite
Inscriptions
Signed and dated, bottom right, in white paint: Abercrombie 42
Dimensions
12.1 × 8.9 cm (4 3/4 × 3 1/2 in.)
Credit Line
Bequest of Katharine Kuh
Reference Number
1994.551",https://www.artic.edu/artworks/133852/self-portrait
2751,"Sisters, 1918–19, Arthur B. Davies","Artist
Arthur B. Davies
Title
Sisters
Origin
United States
Date
1918–1919
Medium
Soft ground etching and aquatint on cream laid paper
Dimensions
126 × 100 mm (image/plate); 198 × 168 mm (sheet)
Credit Line
Gift of the Print and Drawing Club
Reference Number
1930.184",https://www.artic.edu/artworks/4759/sisters
2752,"Two Portions from a Flounce, 1850/1900","Title
Two Portions from a Flounce
Origin
Southern Europe
Date
1850–1900
Medium
Cotton, machine-made net; embroidered in cross, darning, wave filling, and a variety of buttonhole stitches
Dimensions
a: 28.8 × 37.9 cm (11 3/8 × 14 7/8 in.) b: 29 × 37.6 cm (11 3/8 × 14 3/4 in.) Width repeat: 30-30.4 cm (11 3/4-12 in.)
Credit Line
Gift of Mrs. J. Y. Scammon to Antiquarian Society
Reference Number
1896.106a-b",https://www.artic.edu/artworks/2490/two-portions-from-a-flounce
2753,"December, 1961, Harold Paris","Artist
Harold Paris
Title
December
Origin
United States
Date
1961
Medium
Lithograph on ivory wove paper
Dimensions
540 x 398 mm (image); 567 x 403 mm (sheet)
Credit Line
Gift of Burt Kleiner
Reference Number
1963.1653",https://www.artic.edu/artworks/19921/december
2754,"Horse, 5th–6th century","Title
Horse
Origin
Japan
Date
401 AD–500 AD
Medium
Earthenware
Dimensions
79 × 84.5 × 28.5 cm (31 1/8 × 33 1/4 × 11 1/4 in.)
Credit Line
Gift of Robert Allerton
Reference Number
1957.248",https://www.artic.edu/artworks/86366/horse
2755,"Seated Bather, 1914, Pierre-Auguste Renoir","Artist
Pierre-Auguste Renoir
Title
Seated Bather
Origin
France
Date
1914
Medium
Oil on canvas
Inscriptions
s.l.l. Renoir 1914
Dimensions
81.1 × 67.2 cm (31 7/8 × 26 7/8 in.)
Credit Line
Mr. and Mrs. Lewis Larned Coburn Endowment; through prior bequest of Annie Swan Coburn to the Mr. and Mrs. Lewis Larned Coburn Memorial Fund; through prior acquisition of the R. A. Waller Fund
Reference Number
1945.27",https://www.artic.edu/artworks/110798/seated-bather
2756,"The Reed Offered to Christ, 1630/40, Anthony van Dyck","Artist
Anthony van Dyck
Title
The Reed Offered to Christ
Origin
Flanders
Date
1630–1640
Medium
Etching and engraving in black on ivory laid paper
Dimensions
261 × 212 mm (image/sheet, cut within platemark)
Credit Line
Clarence Buckingham Collection
Reference Number
1929.321",https://www.artic.edu/artworks/2299/the-reed-offered-to-christ
2757,"Pair of Flintlock Pistols, 1660/70","Title
Pair of Flintlock Pistols
Origin
Maastricht
Date
1655–1670
Medium
steel, silver, ivory, ebony, leather, and flint
Dimensions
L. 45.6 cm (17 15/16 in.)
Credit Line
George F. Harding Collection
Reference Number
1982.2324a-b",https://www.artic.edu/artworks/106476/pair-of-flintlock-pistols
2758,"Head of Pavlova, 1924, Malvina Hoffman","Artist
Malvina Hoffman
Title
Head of Pavlova
Origin
United States
Date
1924
Medium
Wax on plaster with pigment, on wood mount
Dimensions
40.6 × 23.5 × 15.9 cm (16 × 9 1/4 × 6 1/4 in.) (sculpture) 24.1 × 22.0 × 22.2 cm (9 1/2 × 8 5/8 × 8 3/4 in.) (base)
Credit Line
Gift of Mrs. James A. Cook, Mrs. T. Clifford Rodman, and Joseph Nash Field
Reference Number
1969.833",https://www.artic.edu/artworks/32627/head-of-pavlova
2759,"Clearing Winter Storm, Yosemite National Park, c. 1937, printed 1959, Ansel Adams","Artist
Ansel Adams
Title
Clearing Winter Storm, Yosemite National Park
Origin
United States
Date
Made 1932–1942
Medium
Gelatin silver print, No. 9 from ""Portfolio Three: Yosemite Valley"" (1959); edition 81/208
Inscriptions
Signed recto, on mount, lower right, below image, in graphite: ""Ansel Adams""; stamped and inscribed verso, on mount, center, in black and red ink: ""PORTFOLIO THREE / (Yosemite Valley) / ANSEL ADAMS / PRINT NO. [stamped in black ink] 9 [inscribed in red ink] of SET NO. [stamped in black ink] 81 [inscribed in red ink] / Published by / THE SIERRA CLUB / SAN FRANCISCO / 1959 / Reproduction Rights Reserved [stamped in black ink]""
Dimensions
18.9 × 23 cm (image/paper); 35.3 × 45.8 cm (mount)
Credit Line
Photography Gallery Fund
Reference Number
1960.372
Copyright
© The Ansel Adams Publishing Rights Trust.",https://www.artic.edu/artworks/121723/clearing-winter-storm-yosemite-national-park
2760,"Extemporaneous, 1927, Helen Torr","Artist
Helen Torr
Title
Extemporaneous
Origin
United States
Date
1927
Medium
Oil on metal, mounted on board
Dimensions
40.6 × 36.8 cm (16 × 14 1/2 in.)
Credit Line
Through prior acquisition of Mr. and Mrs. Martin A. Ryerson; through prior bequest of George F. Porter; Mr. and Mrs. Frederick G. Wacker Jr. Endowment Fund; through prior acquisitions of Friends of American Art and Charles H. and Mary F.S. Worcester; Robert McCormick Fund; restricted gift of Elizabeth Souder Louis
Reference Number
2010.298",https://www.artic.edu/artworks/204041/extemporaneous
2761,"Friar Pedro Wrests the Gun from El Maragato, c. 1806, Francisco José de Goya y Lucientes","Artist
Francisco José de Goya y Lucientes
Title
Friar Pedro Wrests the Gun from El Maragato
Origin
Spain
Date
1801–1811
Medium
Oil on panel
Dimensions
11 1/2 × 15 3/8 in. (29.2 × 38.5 cm)
Credit Line
Mr. and Mrs. Martin A. Ryerson Collection
Reference Number
1933.1073",https://www.artic.edu/artworks/16355/friar-pedro-wrests-the-gun-from-el-maragato
2762,"Moon over Ryogoku Bridge in Summer (Natsu Ryogoku no tsuki), from the series “Famous Places in Edo in the Four Seasons (Shiki Koto meisho)”, c. 1832/34, Utagawa Hiroshige","Artist
Utagawa Hiroshige
Title
Moon over Ryogoku Bridge in Summer (Natsu Ryogoku no tsuki), from the series ""Famous Places in Edo in the Four Seasons (Shiki Koto meisho)""
Origin
Japan
Date
1827–1839
Medium
Color woodblock print; chutanzaku
Dimensions
38.3 × 12.7 cm (15 1/16 × 5 in.)
Credit Line
Clarence Buckingham Collection
Reference Number
1929.749",https://www.artic.edu/artworks/3642/moon-over-ryogoku-bridge-in-summer-natsu-ryogoku-no-tsuki-from-the-series-famous-places-in-edo-in-the-four-seasons-shiki-koto-meisho
2763,"Wakana, Part 1 (Wakana, jo), from the series “A Fashionable Parody of the Tale of Genji (Furyu yatsushi Genji)”, c. 1789/94, Chôbunsai Eishi","Artist
Chôbunsai Eishi
Title
Wakana, Part 1 (Wakana, jo), from the series ""A Fashionable Parody of the Tale of Genji (Furyu yatsushi Genji)""
Origin
Japan
Date
1784–1799
Medium
Color woodblock prints; right sheet of oban triptych (complete triptych: 1930.388)
Dimensions
14 1/2 x 10 in.
Credit Line
Clarence Buckingham Collection
Reference Number
1925.3095",https://www.artic.edu/artworks/24093/wakana-part-1-wakana-jo-from-the-series-a-fashionable-parody-of-the-tale-of-genji-furyu-yatsushi-genji
2764,"Schoolhouse, 1920, Paul Klee","Artist
Paul Klee
Title
Schoolhouse
Origin
Germany
Date
1920
Medium
Oil on paper, on board
Inscriptions
Signed, l.l.: ""Klee 19 20 23""
Dimensions
14 1/2 x 12 1/2 in. (36.8 x 31.8 cm)
Credit Line
Gift of Mary and Leigh Block
Reference Number
1969.811
Copyright
© 2018 Artists Rights Society (ARS), New York / VG Bild-Kunst, Bonn",https://www.artic.edu/artworks/32590/schoolhouse
2765,"Untitled, 1963, Peter Saul","Artist
Peter Saul
Title
Untitled
Origin
United States
Date
Made 1963
Medium
Colored crayons and oil pastel, with smudging, erasing, and blue fiber-tipped and ball-point pens, on white wove paper
Dimensions
695 x 765 mm
Credit Line
Gift of Mr. Allan Frumkin
Reference Number
1964.83",https://www.artic.edu/artworks/20443/untitled
2766,"Feeding the Ducks, c. 1895, Mary Cassatt","Artist
Mary Cassatt
Title
Feeding the Ducks
Origin
United States
Date
1890–1900
Medium
Drypoint and aquatint, with monotype inking, in color on cream laid paper
Dimensions
297 x 395 mm (plate); 386 x 495 mm (sheet)
Credit Line
Gift of Laura May Ripley
Reference Number
1992.159",https://www.artic.edu/artworks/117742/feeding-the-ducks
