index,artwork_title,metadata,url
1150,"Christ Carrying the Cross, 1420/25, Master of the Worcester Panel","Artist
Master of the Worcester Panel
Title
Christ Carrying the Cross
Origin
Germany
Date
1420–1425
Medium
Oil on panel
Inscriptions
Inscribed: …alem[i?] (on halo at extreme left), maria.virg. (on Virgin’s halo)
Dimensions
24.6 × 19.5 cm (9 11/16 × 7 11/16 in.); painted surface: 23.9 × 18.7 cm (9 7/16 × 7 3/8 in.)
Credit Line
Charles H. and Mary F. S. Worcester collection
Reference Number
1947.79",https://www.artic.edu/artworks/59897/christ-carrying-the-cross
1151,"Dress for Christ Child, 18th century","Title
Dress for Christ Child
Origin
Spain
Date
1701–1800
Medium
Silk, satin weave, embroidered
Dimensions
104 × 49.5 cm (41 × 19 1/2 in.)
Credit Line
Gift of the Antiquarian Society
Reference Number
1891.7",https://www.artic.edu/artworks/516/dress-for-christ-child
1152,"Fragment (Border), 17th century","Title
Fragment (Border)
Origin
Iran
Date
1601–1700
Medium
Gold woven border.
Dimensions
8.2 x 53.1 (3 1/4 x 21 in.)
Credit Line
Gift of The Orientals
Reference Number
1931.419",https://www.artic.edu/artworks/8704/fragment-border
1153,"The Fates Gathering in the Stars, 1887, Elihu Vedder","Artist
Elihu Vedder
Title
The Fates Gathering in the Stars
Origin
United States
Date
1887
Medium
Oil on canvas
Inscriptions
Signed, lower right: ""Elihu Vedder / Rome 1887""
Dimensions
113 × 82.6 cm (44 1/2 × 32 1/2 in.)
Credit Line
Friends of American Art Collection
Reference Number
1919.1",https://www.artic.edu/artworks/74967/the-fates-gathering-in-the-stars
1154,"A20: Virginia Dining Room, 1758, c. 1940, Mrs. James Ward Thorne","Artist
Mrs. James Ward Thorne (Designer)
Title
A20: Virginia Dining Room, 1758
Origin
United States
Date
Made 1937–1940
Medium
Miniature room, mixed media
Dimensions
Interior: 13 1/4 × 19 3/4 × 21 1/8 in. Scale: 1 inch = 1 foot
Credit Line
Gift of Mrs. James Ward Thorne
Reference Number
1942.500",https://www.artic.edu/artworks/45369/a20-virginia-dining-room-1758
1155,"The Return of Odysseus (Homage to Pinturicchio and Benin), 1977, Romare Howard Bearden","Artist
Romare Howard Bearden
Title
The Return of Odysseus (Homage to Pinturicchio and Benin)
Origin
United States
Date
1977
Medium
Collage comprised of cut-and-pasted papers, with graphite and touches of brush and black and gray wash, on wood panel
Dimensions
1,118 x 1,422 mm
Credit Line
Mary and Leigh Block Fund
Reference Number
1977.127",https://www.artic.edu/artworks/93903/the-return-of-odysseus-homage-to-pinturicchio-and-benin
1156,"A Vision, 1925/26, Joseph Stella","Artist
Joseph Stella
Title
A Vision
Origin
United States
Date
c. 1925–1926
Medium
Oil on canvas
Inscriptions
Signed lower right: Joseph Stella
Dimensions
203.2 × 101.6 cm (80 × 40 in.)
Credit Line
Through prior gift of the Albert Kunstadter Family Foundation
Reference Number
1990.79",https://www.artic.edu/artworks/76047/a-vision
1157,"The Music Lesson, 1671, Jacob Ochtervelt","Artist
Jacob Ochtervelt
Title
The Music Lesson
Origin
Holland
Date
1671
Medium
Oil on canvas
Inscriptions
Sign: Jac. Octervelt
Dimensions
80.2 × 65.5 cm (31 × 25 3/16 in.)
Credit Line
Mr. and Mrs. Martin A. Ryerson Collection
Reference Number
1933.1088",https://www.artic.edu/artworks/16398/the-music-lesson
1158,"Blood Pool, 1992, Kiki Smith","Artist
Kiki Smith
Title
Blood Pool
Origin
United States
Date
1992
Medium
Wax, gauze, and pigment
Dimensions
106.7 x 61 x 40.6 cm (42 x 24 x 16 in.)
Credit Line
Twentieth-Century Discretionary Fund
Reference Number
1993.522",https://www.artic.edu/artworks/122231/blood-pool
1159,"E-4: English Drawing Room of the Late Jacobean Period, 1680-1702, c. 1937, Mrs. James Ward Thorne","Artist
Mrs. James Ward Thorne (Designer)
Title
E-4: English Drawing Room of the Late Jacobean Period, 1680-1702
Origin
United States
Date
Made 1932–1937
Medium
Miniature room, mixed media
Dimensions
Interior: 16 3/4 × 26 1/2 × 21 5/8 in. (41.875 × 66.25 × 54.0625 cm) Scale: 1 inch = 1 foot
Credit Line
Gift of Mrs. James Ward Thorne
Reference Number
1941.1189",https://www.artic.edu/artworks/43693/e-4-english-drawing-room-of-the-late-jacobean-period-1680-1702
