index,artwork_title,metadata,url
3900,"In the Spring, 1939, Grant Wood","Artist
Grant Wood
Title
In the Spring
Origin
United States
Date
Made 1939
Medium
Lithograph on ivory wove paper
Dimensions
226 x 300 mm (image); 314 x 407 mm (sheet)
Credit Line
Carter H. Harrison Memorial Fund
Reference Number
1972.176",https://www.artic.edu/artworks/38620/in-the-spring
3901,"Vase with Stylized Flowers and Vines, Ming dynasty (1368–1644)","Title
Vase with Stylized Flowers and Vines
Origin
China
Date
1368–1644
Medium
Porcelain painted in underglaze blue
Dimensions
H. 14 cm (5 1/2 in.)
Credit Line
Bequest of Russell Tyson
Reference Number
1964.734",https://www.artic.edu/artworks/21408/vase-with-stylized-flowers-and-vines
3902,"World’s Highest Standard of Living, 1937, Margaret Bourke-White","Artist
Margaret Bourke-White
Title
World's Highest Standard of Living
Origin
New York City
Date
Made 1937
Medium
Gelatin silver print, printed later
Dimensions
55.6 × 73.5 cm
Credit Line
Gift of Boardroom, Inc.
Reference Number
1992.560",https://www.artic.edu/artworks/121186/world-s-highest-standard-of-living
3903,"Triptych with The Crucifixion, The Flagellation, and The Entombment, c. 1500","Title
Triptych with The Crucifixion, The Flagellation, and The Entombment
Origin
Limoges
Date
1490–1510
Medium
Painted enamel and gold on copper
Inscriptions
Inscription on figure holding up the sponge: MARCV. Inscription on the left wing of the Flagellation, on the leg of a soldier: MARCVS ESALESOTENRC (sic)
Dimensions
central plaque: 18.9 × 17.2 cm (7 7/16 × 6 3/4 in.); wings: 18.9 × 7.4 cm (7 7/16 × 2 15/16 in.)
Credit Line
Mr. and Mrs. Martin A. Ryerson Collection
Reference Number
1937.822",https://www.artic.edu/artworks/25319/triptych-with-the-crucifixion-the-flagellation-and-the-entombment
3904,"The Survivor, 1936, George Grosz","Artist
George Grosz
Title
The Survivor
Origin
Germany
Date
1936
Medium
Pen and brush and black ink on off-white laid paper
Inscriptions
Signed lower right, below image: ""Grosz 1936""
Dimensions
485 x 633 mm
Credit Line
Gift of the Print and Drawing Club
Reference Number
1939.311",https://www.artic.edu/artworks/30470/the-survivor
3905,"Fountain and Pergola in Italy, 1830/35, Ernest Christian Frederik Petzholdt","Artist
Ernest Christian Frederik Petzholdt
Title
Fountain and Pergola in Italy
Origin
Denmark
Date
1830–1835
Medium
Oil on paper mounted on canvas
Inscriptions
Inscribed on the back of the canvas in ink: F. Petzholdt
Dimensions
39 × 50 cm (15 1/2 × 20 in.)
Credit Line
Connie and Donald Patterson Endowment
Reference Number
2002.377",https://www.artic.edu/artworks/160029/fountain-and-pergola-in-italy
3906,"Douarnenez in Sunshine, 1897, Maxime Maufra","Artist
Maxime Maufra
Title
Douarnenez in Sunshine
Origin
France
Date
1897
Medium
Oil on canvas
Dimensions
59.7 × 73.7 cm (23 1/2 × 29 in.)
Credit Line
Gift of Joseph Durand Ruel
Reference Number
1905.335",https://www.artic.edu/artworks/111632/douarnenez-in-sunshine
3907,"Untitled, 1981, Keith Haring","Artist
Keith Haring
Title
Untitled
Origin
United States
Date
1981
Medium
Flourescent paint and sumi ink on laminated canvas
Dimensions
173.9 x 243.2 cm (68 1/2 x 95 3/4 in.)
Credit Line
Gift of Lannan Foundation
Reference Number
1997.142",https://www.artic.edu/artworks/146909/untitled
3908,"Wall, 1962, Robert W. Mallary","Artist
Robert W. Mallary
Title
Wall
Origin
United States
Date
1962
Medium
Color lithograph on ivory wove paper
Dimensions
441 x 305 mm (image); 757 x 515 mm (sheet)
Credit Line
Gift of Burt Kleiner
Reference Number
1963.1592",https://www.artic.edu/artworks/19829/wall
3909,"Christ Carrying the Cross, from The Small Passion, 1624/31, Jacques Callot","Artist
Jacques Callot
Title
Christ Carrying the Cross, from The Small Passion
Origin
France
Date
1612–1635
Medium
Etching on ivory laid paper
Dimensions
78 × 59 mm
Credit Line
Gift of Mr. and Mrs. Potter Palmer, Jr.
Reference Number
1923.228",https://www.artic.edu/artworks/8197/christ-carrying-the-cross-from-the-small-passion
