index,artwork_title,metadata,url
3450,"Beach Scene, 1949, David Smith","Artist
David Smith
Title
Beach Scene
Origin
United States
Date
1949
Medium
Steel
Dimensions
58.4 × 60.6 × 20.3 cm (23 × 23 7/8 × 8 in.)
Credit Line
Gift of Society for Contemporary American Art
Reference Number
1952.199
Copyright
© 2019 The Estate of David Smith / Licensed by VAGA at Artists Rights Society (ARS), NY.",https://www.artic.edu/artworks/76907/beach-scene
3451,"Portrait of Dr. Gachet, 1890, Vincent van Gogh","Artist
Vincent van Gogh
Title
Portrait of Dr. Gachet
Origin
Netherlands
Date
1890
Medium
Etching in black on tan wove paper
Dimensions
182 x 148 mm (image/plate); 205 x 172 mm (sheet)
Credit Line
Clarence Buckingham Collection
Reference Number
1962.83",https://www.artic.edu/artworks/88393/portrait-of-dr-gachet
3452,"Fragment from Bedcover (Crazy Quilt Block), c. 1884","Title
Fragment from Bedcover (Crazy Quilt Block)
Origin
United States
Date
Made 1874–1894
Medium
Silk, satin, twill, and plain weaves; some with supplementary patterning warps or wefts, some self-patterned by main warps and ground wefts; some embroidered with silk and silk chenille yarns in bullion, satin, split and stem stitches; couching; some warp dyed; silk and silk and cotton, plain and satin weaves with supplementary pile warps forming cut solid and cut voided velvets; and wool, twill weave; embroidered in herringbone, satin and stem stitches; pieced; padded; backed with cotton, plain weave and embroidered with silk in cross, double feather, feather, fly, herringbone, knot, satin and split stitches
Dimensions
45.6 x 44 cm (18 x 17 3/8 in.)
Credit Line
Gift of Helen Donathen
Reference Number
1960.142",https://www.artic.edu/artworks/11789/fragment-from-bedcover-crazy-quilt-block
3453,"Notebook, 19th century","Title
Notebook
Origin
Germany
Date
1801–1900
Medium
Leather binding; covers of velvet, embroidered with chenille and metal thread
Dimensions
15.2 × 9.8 cm (6 × 3 7/8 in.)
Credit Line
Gift of Mrs. Howard Linn
Reference Number
1956.107",https://www.artic.edu/artworks/2113/notebook
3454,"Woman from Brittany, 1886, Pascal-Adolphe-Jean Dagnan-Bouveret","Artist
Pascal-Adolphe-Jean Dagnan-Bouveret
Title
Woman from Brittany
Origin
France
Date
1886
Medium
Oil on canvas
Inscriptions
Inscribed lower right: P.A.J.Dagnan-B. 1886
Dimensions
36.2 × 27.9 cm (14 1/4 × 11 in.)
Credit Line
Potter Palmer Collection
Reference Number
1922.442",https://www.artic.edu/artworks/81562/woman-from-brittany
3455,"Sailboats on Sea, n.d., Unknown artist","Artist
Unknown artist
Title
Sailboats on Sea
Origin
Netherlands
Date
1501–1600
Medium
Brush and black ink, with brush and gray wash, over traces of graphite, on ivory laid paper
Dimensions
132 × 186 mm
Credit Line
The Leonora Hall Gurley Memorial Collection
Reference Number
1922.3422",https://www.artic.edu/artworks/3015/sailboats-on-sea
3456,"Battle in the Mountains, 1857, Rodolphe Bresdin","Artist
Rodolphe Bresdin
Title
Battle in the Mountains
Origin
France
Date
1857
Medium
Pen and black ink, on tan wove tracing paper, laid down on cream wove paper
Dimensions
295 × 251 mm
Credit Line
Worcester Sketch Fund
Reference Number
1963.811",https://www.artic.edu/artworks/18664/battle-in-the-mountains
3457,"Trinity, 1941, Charles Howard","Artist
Charles Howard
Title
Trinity
Origin
United States
Date
1941
Medium
Oil on canvas
Inscriptions
No signature
Dimensions
61 × 86.4 cm (24 × 34 in.)
Credit Line
Wilson L. Mead Fund
Reference Number
1945.292",https://www.artic.edu/artworks/53501/trinity
3458,"Pistachio Tree at Château Noir, c. 1900, Paul Cézanne","Artist
Paul Cézanne
Title
Pistachio Tree at Château Noir
Origin
France
Date
1895–1905
Medium
Watercolor with graphite on cream wove paper, laid down on tan wove paper
Dimensions
542 × 433 mm
Credit Line
Mr. and Mrs. Martin A. Ryerson Collection
Reference Number
1937.1030",https://www.artic.edu/artworks/25838/pistachio-tree-at-chateau-noir
3459,"Ishibe: Megawa Village (Ishibe, Megawa no sato), from the series “Fifty-three Stations of the Tokaido (Tokaido gojusan tsugi no uchi),” also known as the Hoeido Tokaido, c. 1833/34, Utagawa Hiroshige","Artist
Utagawa Hiroshige
Title
Ishibe: Megawa Village (Ishibe, Megawa no sato), from the series ""Fifty-three Stations of the Tokaido (Tokaido gojusan tsugi no uchi),"" also known as the Hoeido Tokaido
Origin
Japan
Date
1828–1839
Medium
Color woodblock print; oban
Dimensions
25.2 x 37.3 cm (9 15/16 x 14 11/16 in.)
Credit Line
Gift of Mr. and Mrs. Harold G. Henderson
Reference Number
1963.673",https://www.artic.edu/artworks/18270/ishibe-megawa-village-ishibe-megawa-no-sato-from-the-series-fifty-three-stations-of-the-tokaido-tokaido-gojusan-tsugi-no-uchi-also-known-as-the-hoeido-tokaido
3460,"Yoro Waterfall in Mino Province (Mino no kuni Yoro no taki), from the series Tour of the Waterfalls in Various Provinces (Shokoku Takimeguri), c. 1833, Katsushika Hokusai","Artist
Katsushika Hokusai
Title
Yoro Waterfall in Mino Province (Mino no kuni Yoro no taki), from the series Tour of the Waterfalls in Various Provinces (Shokoku Takimeguri)
Origin
Japan
Date
1827–1838
Medium
Color woodblock print; oban
Dimensions
Approx. 38.2 x 25.4 cm (15 x 10 in.)
Credit Line
Gift of Chester W. Wright
Reference Number
1961.166",https://www.artic.edu/artworks/13255/yoro-waterfall-in-mino-province-mino-no-kuni-yoro-no-taki-from-the-series-tour-of-the-waterfalls-in-various-provinces-shokoku-takimeguri
3461,"Ejiri in Suruga Province (Sunshu Ejiri), from the series “Thirty-six Views of Mount Fuji (Fugaku sanjurokkei)”, c. 1830/33, Katsushika Hokusai","Artist
Katsushika Hokusai
Title
Ejiri in Suruga Province (Sunshu Ejiri), from the series ""Thirty-six Views of Mount Fuji (Fugaku sanjurokkei)""
Origin
Japan
Date
1825–1838
Medium
Color woodblock print; oban
Dimensions
26.2 x 37.5 cm (10 1/4 x 14 3/4 in.)
Credit Line
Clarence Buckingham Collection
Reference Number
1925.3285",https://www.artic.edu/artworks/24800/ejiri-in-suruga-province-sunshu-ejiri-from-the-series-thirty-six-views-of-mount-fuji-fugaku-sanjurokkei
3462,"Mrs. Klapp (Anna Milnor), 1814, Thomas Sully","Artist
Thomas Sully
Title
Mrs. Klapp (Anna Milnor)
Origin
Philadelphia
Date
1814
Medium
Oil on canvas
Dimensions
92.1 × 71.5 cm (36 1/4 × 28 1/8 in.)
Credit Line
Restricted gift of Annie Swan Coburn to the Mr. and Mrs. Lewis L. Coburn Memorial Collection
Reference Number
1950.1362",https://www.artic.edu/artworks/72375/mrs-klapp-anna-milnor
